rownum	flightcompany	flighttype	flightclass	flightnumber	apron	stand	rdy	direction	runway
4493	MU                  	321	C                   	MU2841              	PN1                 	N105L               	2018/9/11 18:30	arrive	1
4494	CA                  	332	E                   	CA1709              	P4                  	463	2018/9/11 18:30	arrive	1
4495	CA                  	738	C                   	CA954               	P3                  	354	2018/9/11 18:30	arrive	1
4496	CZ                  	321	C                   	CZ3255              	P7                  	735	2018/9/11 18:30	arrive	36L                 
4497	CA                  	773	E                   	CA1885              	P9                  	953	2018/9/11 18:30	depart	1
4498	CZ                  	788	E                   	CZ3100              	P8                  	808	2018/9/11 18:30	depart	36L                 
4499	CA                  	738	C                   	CA1551              	P5                  	560	2018/9/11 18:35	depart	1
4500	MU                  	320	C                   	MU5188              	P8                  	801	2018/9/11 18:35	depart	36R                 
4501	CZ                  	333	E                   	CZ3189              	P8                  	807	2018/9/11 18:35	arrive	36L                 
4502	CA                  	332	E                   	CA1438              	P3                  	361	2018/9/11 18:40	arrive	36L                 
4503	CA                  	738	C                   	CA1834              	P3                  	355	2018/9/11 18:40	arrive	1
4504	CZ                  	321	C                   	CZ6150              	P7                  	733	2018/9/11 18:40	depart	36R                 
4505	MU                  	321	C                   	MU2116              	P8                  	812	2018/9/11 18:40	depart	36L                 
4506	CA                  	321	C                   	CA4105              	PN12                	N127                	2018/9/11 18:45	arrive	36L                 
4507	MF                  	789	E                   	MF8119              	P6                  	610	2018/9/11 18:50	arrive	36L                 
4508	CA                  	738	C                   	CA1266              	P4                  	460	2018/9/11 18:55	arrive	1
4509	MU                  	320	C                   	MU2832              	P8                  	802	2018/9/11 18:55	depart	36R                 
4510	CA                  	738	C                   	CA1693              	P5                  	553	2018/9/11 19:00	depart	1
4511	MU                  	320	C                   	MU2073              	P8                  	813	2018/9/11 19:00	depart	36R                 
4512	HU                  	789	E                   	HU7976              	PW2                 	W205                	2018/9/11 19:00	arrive	1
4513	HU                  	789	E                   	HU482               	PW2                 	W210                	2018/9/11 19:00	arrive	1
4514	CA                  	738	C                   	CA1220              	P4                  	452	2018/9/11 19:05	arrive	36L                 
4515	CA                  	332	E                   	CA1884              	P9                  	954	2018/9/11 19:05	arrive	1
4516	MU                  	321	C                   	MU536               	PN12                	N122                	2018/9/11 19:05	arrive	1
4517	CA                  	738	C                   	CA1616              	P4                  	462	2018/9/11 19:05	arrive	1
4518	MU                  	320	C                   	MU2113              	PN1                 	N105R               	2018/9/11 19:05	arrive	36L                 
4519	HU                  	788	E                   	HU7523              	PW1                 	W107                	2018/9/11 19:05	depart	36R                 
4520	HU                  	789	E                   	HU7835              	PW2                 	W203                	2018/9/11 19:05	depart	36L                 
4521	SC                  	738	C                   	SC1186              	P3                  	358	2018/9/11 19:10	arrive	1
4522	CA                  	321	C                   	CA1314              	P4                  	461	2018/9/11 19:10	arrive	36L                 
4523	HU                  	738	C                   	HU7280              	P7                  	721	2018/9/11 19:10	arrive	36L                 
4524	CA                  	333	E                   	CA1518              	PM                  	M01                 	2018/9/11 19:10	arrive	1
4525	CA                  	738	C                   	CA1562              	PN2                 	N207L               	2018/9/11 19:15	arrive	1
4526	CA                  	320	C                   	CA4165              	P4                  	456	2018/9/11 19:15	arrive	36L                 
4527	CA                  	738	C                   	CA1392              	P4                  	453	2018/9/11 19:15	arrive	36L                 
4528	CZ                  	333	E                   	CZ3115              	P6                  	608	2018/9/11 19:15	arrive	36L                 
4529	CA                  	333	E                   	CA1374              	P5                  	555	2018/9/11 19:15	arrive	1
4530	CZ                  	738	C                   	CZ3654              	P7                  	734	2018/9/11 19:15	depart	36L                 
4531	CZ                  	738	C                   	CZ3140              	P7                  	724	2018/9/11 19:20	depart	36L                 
4532	MU                  	73G                 	C                   	MU9702              	P8                  	805	2018/9/11 19:20	depart	36L                 
4533	MU                  	321	C                   	MU5130              	PN1                 	N104R               	2018/9/11 19:20	depart	36R                 
