flightcompany,flighttype,flightclass,flightnumber,direction
3U                  ,319                 ,C                   ,3U8515              ,arrive
3U                  ,319                 ,C                   ,3U8516              ,depart
3U                  ,319                 ,C                   ,3U8819              ,depart
3U                  ,319                 ,C                   ,3U8820              ,arrive
3U                  ,319                 ,C                   ,3U8837              ,arrive
3U                  ,319                 ,C                   ,3U8838              ,depart
3U                  ,320                 ,C                   ,3U8209              ,depart
3U                  ,320                 ,C                   ,3U8210              ,arrive
3U                  ,320                 ,C                   ,3U821Z              ,arrive
3U                  ,320                 ,C                   ,3U8401              ,arrive
3U                  ,320                 ,C                   ,3U8402              ,depart
3U                  ,320                 ,C                   ,3U8723              ,depart
3U                  ,320                 ,C                   ,3U8724              ,arrive
3U                  ,320                 ,C                   ,3U8750              ,arrive
3U                  ,320                 ,C                   ,3U8804              ,arrive
3U                  ,320                 ,C                   ,3U8837              ,arrive
3U                  ,320                 ,C                   ,3U8838              ,depart
3U                  ,320                 ,C                   ,3U8891              ,arrive
3U                  ,320                 ,C                   ,3U8892              ,depart
3U                  ,320                 ,C                   ,3U8893              ,arrive
3U                  ,320                 ,C                   ,3U8894              ,depart
3U                  ,320                 ,C                   ,3U8895              ,arrive
3U                  ,320                 ,C                   ,3U8896              ,depart
3U                  ,321                 ,C                   ,3U8547              ,arrive
3U                  ,321                 ,C                   ,3U8548              ,depart
3U                  ,321                 ,C                   ,3U8829              ,arrive
3U                  ,321                 ,C                   ,3U8831              ,arrive
3U                  ,321                 ,C                   ,3U8832              ,depart
3U                  ,321                 ,C                   ,3U8834              ,depart
3U                  ,321                 ,C                   ,3U8885              ,arrive
3U                  ,321                 ,C                   ,3U8886              ,depart
3U                  ,321                 ,C                   ,3U8893              ,arrive
3U                  ,321                 ,C                   ,3U8896              ,depart
3U                  ,332                 ,E                   ,3U8547              ,arrive
3U                  ,332                 ,E                   ,3U8548              ,depart
3U                  ,332                 ,E                   ,3U8834              ,depart
3U                  ,333                 ,E                   ,3U8547              ,arrive
3U                  ,333                 ,E                   ,3U8548              ,depart
3U                  ,333                 ,E                   ,3U8883              ,arrive
3U                  ,333                 ,E                   ,3U8884              ,depart
3U                  ,333                 ,E                   ,3U8887              ,arrive
3U                  ,333                 ,E                   ,3U8888              ,depart
3U                  ,333                 ,E                   ,3U8891              ,arrive
3U                  ,333                 ,E                   ,3U8892              ,depart
7C                  ,738                 ,C                   ,7C8101              ,arrive
7C                  ,738                 ,C                   ,7C8102              ,depart
8L                  ,73G                 ,C                   ,8L9937              ,arrive
8L                  ,73G                 ,C                   ,8L9938              ,depart
8L                  ,73G                 ,C                   ,8L9981              ,arrive
8L                  ,73G                 ,C                   ,8L9982              ,depart
AA                  ,788                 ,E                   ,AA186               ,depart
AA                  ,788                 ,E                   ,AA187               ,arrive
AA                  ,788                 ,E                   ,AA262               ,depart
AA                  ,788                 ,E                   ,AA263               ,arrive
AA                  ,789                 ,E                   ,AA180               ,depart
AA                  ,789                 ,E                   ,AA180P              ,depart
AA                  ,789                 ,E                   ,AA181               ,arrive
AA                  ,789                 ,E                   ,AA262               ,depart
AA                  ,789                 ,E                   ,AA263               ,arrive
AC                  ,773                 ,E                   ,AC015               ,arrive
AC                  ,773                 ,E                   ,AC015               ,depart
AF                  ,772                 ,E                   ,AF125               ,depart
AF                  ,772                 ,E                   ,AF128               ,arrive
AF                  ,772                 ,E                   ,AF381               ,depart
AF                  ,772                 ,E                   ,AF382               ,arrive
AF                  ,773                 ,E                   ,AF125               ,depart
AF                  ,773                 ,E                   ,AF128               ,arrive
AF                  ,773                 ,E                   ,AF381               ,depart
AF                  ,773                 ,E                   ,AF382               ,arrive
AH                  ,332                 ,E                   ,AH3060              ,arrive
AH                  ,332                 ,E                   ,AH3061              ,depart
AS                  ,318                 ,C                   ,B6936               ,arrive
AS                  ,318                 ,C                   ,B6936               ,depart
AS                  ,73G                 ,C                   ,ROJ001              ,arrive
AS                  ,73G                 ,C                   ,ROJ001              ,depart
AS                  ,762                 ,D                   ,IAM1435             ,arrive
AS                  ,762                 ,D                   ,IAM1435             ,depart
AS                  ,CCJ                 ,B                   ,B7796               ,arrive
AS                  ,CCJ                 ,B                   ,B7796               ,depart
AS                  ,CL8                 ,B                   ,B3373               ,arrive
AS                  ,CL8                 ,B                   ,B3373               ,depart
AS                  ,ER3                 ,B                   ,B3096               ,arrive
AS                  ,ER3                 ,B                   ,B3096               ,depart
AS                  ,F7X                 ,B                   ,B8029               ,arrive
AS                  ,F7X                 ,B                   ,B8029               ,depart
AS                  ,F7X                 ,B                   ,B8205               ,arrive
AS                  ,F7X                 ,B                   ,B8205               ,depart
AS                  ,F7X                 ,B                   ,B8215               ,arrive
AS                  ,F7X                 ,B                   ,B8215               ,depart
AS                  ,F7X                 ,B                   ,B8216               ,arrive
AS                  ,F7X                 ,B                   ,B8216               ,depart
AS                  ,F7X                 ,B                   ,N656FN              ,arrive
AS                  ,F7X                 ,B                   ,N656FN              ,depart
AS                  ,F7X                 ,B                   ,TBJ73               ,arrive
AS                  ,F7X                 ,B                   ,TBJ73               ,depart
AS                  ,F7X                 ,B                   ,VPCZS               ,arrive
AS                  ,F7X                 ,B                   ,VPCZS               ,depart
AS                  ,G45                 ,B                   ,B8251               ,arrive
AS                  ,G45                 ,B                   ,B8251               ,depart
AS                  ,G45                 ,B                   ,B8252               ,arrive
AS                  ,G45                 ,B                   ,B8252               ,depart
AS                  ,G45                 ,B                   ,B8253               ,arrive
AS                  ,G45                 ,B                   ,B8253               ,depart
AS                  ,G45                 ,B                   ,MYANG               ,arrive
AS                  ,G45                 ,B                   ,MYANG               ,depart
AS                  ,G4L                 ,B                   ,B8128               ,arrive
AS                  ,G4L                 ,B                   ,B8128               ,depart
AS                  ,G5L                 ,B                   ,B3358               ,arrive
AS                  ,G5L                 ,B                   ,B3358               ,depart
AS                  ,G5L                 ,B                   ,B8292               ,arrive
AS                  ,G5L                 ,B                   ,B8292               ,depart
AS                  ,G5L                 ,B                   ,N588PX              ,arrive
AS                  ,G5L                 ,B                   ,N588PX              ,depart
AS                  ,G5L                 ,B                   ,N999HZ              ,arrive
AS                  ,G5L                 ,B                   ,N999HZ              ,depart
AS                  ,G65                 ,B                   ,B3271               ,arrive
AS                  ,G65                 ,B                   ,B3271               ,depart
AS                  ,G65                 ,B                   ,B602M               ,arrive
AS                  ,G65                 ,B                   ,B602M               ,depart
AS                  ,G65                 ,B                   ,VPCGP               ,arrive
AS                  ,G65                 ,B                   ,VPCGP               ,depart
AS                  ,G65                 ,B                   ,VPCOR               ,arrive
AS                  ,G65                 ,B                   ,VPCOR               ,depart
AS                  ,G65                 ,B                   ,VPCYL               ,arrive
AS                  ,G65                 ,B                   ,VPCYL               ,depart
AS                  ,GB5                 ,C                   ,B602L               ,arrive
AS                  ,GB5                 ,C                   ,B602L               ,depart
AS                  ,GB5                 ,C                   ,TBJ06               ,arrive
AS                  ,GB5                 ,C                   ,TBJ06               ,depart
AS                  ,GB5                 ,C                   ,VPCCK               ,arrive
AS                  ,GB5                 ,C                   ,VPCCK               ,depart
AS                  ,GB6                 ,C                   ,B8105               ,arrive
AS                  ,GB6                 ,C                   ,B8105               ,depart
AS                  ,GB6                 ,C                   ,B8195               ,arrive
AS                  ,GB6                 ,C                   ,B8195               ,depart
AS                  ,GB6                 ,C                   ,B8197               ,arrive
AS                  ,GB6                 ,C                   ,B8197               ,depart
AS                  ,GB6                 ,C                   ,N878SC              ,arrive
AS                  ,GB6                 ,C                   ,N878SC              ,depart
AS                  ,IL9                 ,E                   ,RFF9006             ,arrive
AS                  ,IL9                 ,E                   ,RFF9006             ,depart
BG                  ,319                 ,C                   ,FAV2                ,arrive
BG                  ,319                 ,C                   ,FAV2                ,depart
BG                  ,319                 ,C                   ,RSD572              ,arrive
BG                  ,319                 ,C                   ,RSD572              ,depart
BG                  ,342                 ,E                   ,GAF886              ,arrive
BG                  ,342                 ,E                   ,GAF886              ,depart
BG                  ,343                 ,E                   ,GAF921              ,arrive
BG                  ,343                 ,E                   ,GAF921              ,depart
BG                  ,343                 ,E                   ,IRAN06              ,arrive
BG                  ,343                 ,E                   ,IRAN06              ,depart
BG                  ,738                 ,C                   ,BOXER45             ,arrive
BG                  ,738                 ,C                   ,BOXER45             ,depart
BG                  ,744                 ,E                   ,JF002               ,arrive
BG                  ,744                 ,E                   ,JF002               ,depart
BG                  ,A4F                 ,F                   ,VDA9423             ,arrive
BG                  ,A4F                 ,F                   ,VDA9424             ,depart
BG                  ,A4F                 ,F                   ,VDA9426             ,arrive
BG                  ,A4F                 ,F                   ,VDA9428             ,depart
BG                  ,A4F                 ,F                   ,VDA9430             ,arrive
BG                  ,A4F                 ,F                   ,VDA9431             ,depart
BG                  ,CL8                 ,B                   ,BEC021              ,arrive
BG                  ,CL8                 ,B                   ,BEC021              ,depart
BG                  ,CR2                 ,B                   ,OMA4005             ,arrive
BG                  ,CR2                 ,B                   ,OMA4005             ,depart
BG                  ,F7X                 ,B                   ,5NFGV               ,arrive
BG                  ,F7X                 ,B                   ,5NFGV               ,depart
BG                  ,F7X                 ,B                   ,RSD736              ,arrive
BG                  ,F7X                 ,B                   ,RSD736              ,depart
BG                  ,F9D                 ,B                   ,ANGOLA3             ,arrive
BG                  ,F9D                 ,B                   ,ANGOLA3             ,depart
BG                  ,G45                 ,B                   ,KHALID1             ,arrive
BG                  ,G45                 ,B                   ,KHALID1             ,depart
BG                  ,IL7                 ,D                   ,TTF9079             ,arrive
BG                  ,IL7                 ,D                   ,TTF9080             ,depart
BG                  ,IL9                 ,E                   ,RSD007              ,arrive
BG                  ,IL9                 ,E                   ,RSD007              ,depart
BG                  ,IL9                 ,E                   ,RSD034              ,arrive
BG                  ,IL9                 ,E                   ,RSD034              ,depart
BG                  ,IL9                 ,E                   ,RSD036              ,arrive
BG                  ,IL9                 ,E                   ,RSD036              ,depart
BG                  ,T20                 ,C                   ,RSD009              ,arrive
BG                  ,T20                 ,C                   ,RSD009              ,depart
BS                  ,318                 ,C                   ,B6936               ,arrive
BS                  ,318                 ,C                   ,B6936               ,depart
BS                  ,319                 ,C                   ,B54111              ,arrive
BS                  ,319                 ,C                   ,B54111              ,depart
BS                  ,319                 ,C                   ,KAY51               ,arrive
BS                  ,319                 ,C                   ,KAY51               ,depart
BS                  ,319                 ,C                   ,SVW37CE             ,arrive
BS                  ,319                 ,C                   ,SVW37CE             ,depart
BS                  ,73G                 ,C                   ,MLCFC               ,arrive
BS                  ,73G                 ,C                   ,MLCFC               ,depart
BS                  ,73G                 ,C                   ,N2708E              ,arrive
BS                  ,73G                 ,C                   ,N2708E              ,depart
BS                  ,73G                 ,C                   ,P4SJM               ,arrive
BS                  ,73G                 ,C                   ,P4SJM               ,depart
BS                  ,73G                 ,C                   ,VPCZW               ,arrive
BS                  ,73G                 ,C                   ,VPCZW               ,depart
BS                  ,BBJ                 ,C                   ,BWJ666              ,arrive
BS                  ,BBJ                 ,C                   ,BWJ666              ,depart
BS                  ,BBJ                 ,C                   ,HL8290              ,arrive
BS                  ,BBJ                 ,C                   ,HL8290              ,depart
BS                  ,BBJ                 ,C                   ,N7777Q              ,arrive
BS                  ,BBJ                 ,C                   ,N7777Q              ,depart
BS                  ,BBJ                 ,C                   ,RDN286              ,depart
BS                  ,BBJ                 ,C                   ,RDN571              ,arrive
BS                  ,BBJ                 ,C                   ,RDN571              ,depart
BS                  ,BBJ                 ,C                   ,RND286              ,arrive
BS                  ,BBJ                 ,C                   ,TBJ95               ,arrive
BS                  ,BBJ                 ,C                   ,TBJ95               ,depart
BS                  ,BBJ                 ,C                   ,VPBIZ               ,arrive
BS                  ,BBJ                 ,C                   ,VPBIZ               ,depart
BS                  ,BBJ                 ,C                   ,VPCAM               ,arrive
BS                  ,BBJ                 ,C                   ,VPCAM               ,depart
BS                  ,C68                 ,B                   ,JA680C              ,arrive
BS                  ,C68                 ,B                   ,JA680C              ,depart
BS                  ,C68                 ,B                   ,VHEXQ               ,arrive
BS                  ,C68                 ,B                   ,VHEXQ               ,depart
BS                  ,C90                 ,C                   ,B7758               ,arrive
BS                  ,C90                 ,C                   ,B7758               ,depart
BS                  ,CCJ                 ,B                   ,B3028               ,arrive
BS                  ,CCJ                 ,B                   ,B3028               ,depart
BS                  ,CCJ                 ,B                   ,B3566               ,depart
BS                  ,CCJ                 ,B                   ,B7696               ,arrive
BS                  ,CCJ                 ,B                   ,B7696               ,depart
BS                  ,CCJ                 ,B                   ,BGC103              ,arrive
BS                  ,CCJ                 ,B                   ,BGC701              ,depart
BS                  ,CCJ                 ,B                   ,BWJ928              ,arrive
BS                  ,CCJ                 ,B                   ,BWJ928              ,depart
BS                  ,CCJ                 ,B                   ,EPB101              ,arrive
BS                  ,CCJ                 ,B                   ,EPB102              ,depart
BS                  ,CCJ                 ,B                   ,EPB107              ,arrive
BS                  ,CCJ                 ,B                   ,EPB121              ,arrive
BS                  ,CCJ                 ,B                   ,EPB125              ,depart
BS                  ,CCJ                 ,B                   ,EPB951              ,depart
BS                  ,CCJ                 ,B                   ,HAH201              ,arrive
BS                  ,CCJ                 ,B                   ,HAH201              ,depart
BS                  ,CCJ                 ,B                   ,HAH202              ,arrive
BS                  ,CCJ                 ,B                   ,HAH202              ,depart
BS                  ,CCJ                 ,B                   ,HAH206              ,depart
BS                  ,CCJ                 ,B                   ,HAH209              ,arrive
BS                  ,CCJ                 ,B                   ,HAH210              ,depart
BS                  ,CCJ                 ,B                   ,HAH301              ,arrive
BS                  ,CCJ                 ,B                   ,HAH302              ,arrive
BS                  ,CCJ                 ,B                   ,HAH306              ,arrive
BS                  ,CCJ                 ,B                   ,HAH501              ,depart
BS                  ,CCJ                 ,B                   ,HAH604              ,arrive
BS                  ,CCJ                 ,B                   ,HAH605              ,depart
BS                  ,CCJ                 ,B                   ,HAH608              ,arrive
BS                  ,CCJ                 ,B                   ,HAH802              ,arrive
BS                  ,CCJ                 ,B                   ,HAH803              ,depart
BS                  ,CCJ                 ,B                   ,HAH806              ,arrive
BS                  ,CCJ                 ,B                   ,HAH807              ,depart
BS                  ,CCJ                 ,B                   ,HAH808              ,arrive
BS                  ,CCJ                 ,B                   ,HAH809              ,depart
BS                  ,CCJ                 ,B                   ,IJM607              ,arrive
BS                  ,CCJ                 ,B                   ,IJM607              ,depart
BS                  ,CCJ                 ,B                   ,JBE131              ,arrive
BS                  ,CCJ                 ,B                   ,JBE132              ,depart
BS                  ,CCJ                 ,B                   ,JBE133              ,arrive
BS                  ,CCJ                 ,B                   ,JBE531              ,depart
BS                  ,CCJ                 ,B                   ,JBE532              ,arrive
BS                  ,CCJ                 ,B                   ,JBE601              ,depart
BS                  ,CCJ                 ,B                   ,JBE602              ,arrive
BS                  ,CCJ                 ,B                   ,MZT6568             ,depart
BS                  ,CCJ                 ,B                   ,MZT6580             ,arrive
BS                  ,CCJ                 ,B                   ,MZT6585             ,arrive
BS                  ,CCJ                 ,B                   ,MZT6586             ,depart
BS                  ,CCJ                 ,B                   ,N126SZ              ,arrive
BS                  ,CCJ                 ,B                   ,N126SZ              ,depart
BS                  ,CCJ                 ,B                   ,N650BA              ,arrive
BS                  ,CCJ                 ,B                   ,N650BA              ,depart
BS                  ,CCJ                 ,B                   ,N880HK              ,arrive
BS                  ,CCJ                 ,B                   ,N880HK              ,depart
BS                  ,CCJ                 ,B                   ,N8895               ,arrive
BS                  ,CCJ                 ,B                   ,N8895               ,depart
BS                  ,CCJ                 ,B                   ,N898DL              ,arrive
BS                  ,CCJ                 ,B                   ,N898DL              ,depart
BS                  ,CCJ                 ,B                   ,N899KK              ,arrive
BS                  ,CCJ                 ,B                   ,N899KK              ,depart
BS                  ,CCJ                 ,B                   ,TBJ55               ,arrive
BS                  ,CCJ                 ,B                   ,TBJ55               ,depart
BS                  ,CCJ                 ,B                   ,VJT432              ,arrive
BS                  ,CCJ                 ,B                   ,VJT432              ,depart
BS                  ,CCJ                 ,B                   ,VJT570              ,arrive
BS                  ,CCJ                 ,B                   ,VJT570              ,depart
BS                  ,CCJ                 ,B                   ,WFH601              ,depart
BS                  ,CCJ                 ,B                   ,WFH681              ,arrive
BS                  ,CCJ                 ,B                   ,WFH682              ,depart
BS                  ,CCX                 ,B                   ,FHMBY               ,arrive
BS                  ,CCX                 ,B                   ,FHMBY               ,depart
BS                  ,CCX                 ,B                   ,SVW62BC             ,arrive
BS                  ,CCX                 ,B                   ,SVW62BC             ,depart
BS                  ,CCX                 ,B                   ,VJT974              ,arrive
BS                  ,CCX                 ,B                   ,VJT974              ,depart
BS                  ,CJ1                 ,B                   ,N881CW              ,arrive
BS                  ,CJ1                 ,B                   ,N881CW              ,depart
BS                  ,CL8                 ,B                   ,B3373               ,arrive
BS                  ,CL8                 ,B                   ,B3373               ,depart
BS                  ,CL8                 ,B                   ,B3563               ,arrive
BS                  ,CL8                 ,B                   ,B3563               ,depart
BS                  ,CL8                 ,B                   ,FSJ101              ,depart
BS                  ,CL8                 ,B                   ,FSJ102              ,arrive
BS                  ,CL8                 ,B                   ,FSJ201              ,arrive
BS                  ,CL8                 ,B                   ,FSJ501              ,depart
BS                  ,CL8                 ,B                   ,FSJ701              ,depart
BS                  ,CL8                 ,B                   ,FSJ702              ,arrive
BS                  ,CL8                 ,B                   ,MJF6B               ,arrive
BS                  ,CL8                 ,B                   ,MJF6B               ,depart
BS                  ,CL8                 ,B                   ,MZT5217             ,arrive
BS                  ,CL8                 ,B                   ,MZT5218             ,depart
BS                  ,CL8                 ,B                   ,MZT5219             ,arrive
BS                  ,CL8                 ,B                   ,MZT5220             ,depart
BS                  ,CL8                 ,B                   ,MZT7917             ,arrive
BS                  ,CL8                 ,B                   ,MZT7918             ,depart
BS                  ,CL8                 ,B                   ,MZT7931             ,arrive
BS                  ,CL8                 ,B                   ,MZT7932             ,depart
BS                  ,CL8                 ,B                   ,MZT7939             ,arrive
BS                  ,CL8                 ,B                   ,MZT7940             ,depart
BS                  ,CL8                 ,B                   ,VJT630              ,arrive
BS                  ,CL8                 ,B                   ,VJT630              ,depart
BS                  ,CL8                 ,B                   ,XAI511              ,arrive
BS                  ,CL8                 ,B                   ,XAI512              ,depart
BS                  ,CL8                 ,B                   ,XAI521              ,arrive
BS                  ,CL8                 ,B                   ,XAI522              ,depart
BS                  ,CL8                 ,B                   ,XAI610              ,arrive
BS                  ,CL8                 ,B                   ,XAI611              ,depart
BS                  ,CL8                 ,B                   ,XAI831              ,arrive
BS                  ,CL8                 ,B                   ,XAI832              ,depart
BS                  ,CL8                 ,B                   ,XAI833              ,arrive
BS                  ,CL8                 ,B                   ,XAI836              ,depart
BS                  ,CR2                 ,B                   ,JSU107              ,arrive
BS                  ,CR2                 ,B                   ,JSU513              ,depart
BS                  ,CR2                 ,B                   ,LNM301              ,arrive
BS                  ,CR2                 ,B                   ,LNM301              ,depart
BS                  ,CR2                 ,B                   ,LNM302              ,arrive
BS                  ,CR2                 ,B                   ,LNM302              ,depart
BS                  ,CR2                 ,B                   ,LNM305              ,arrive
BS                  ,CR2                 ,B                   ,LNM306              ,depart
BS                  ,CR2                 ,B                   ,LNM311              ,arrive
BS                  ,CR2                 ,B                   ,LNM311              ,depart
BS                  ,CR2                 ,B                   ,LNM312              ,depart
BS                  ,CR2                 ,B                   ,LNM313              ,arrive
BS                  ,ER3                 ,B                   ,B3096               ,arrive
BS                  ,ER3                 ,B                   ,B3096               ,depart
BS                  ,ER3                 ,B                   ,B3097               ,arrive
BS                  ,ER3                 ,B                   ,B3097               ,depart
BS                  ,ER3                 ,B                   ,B3099               ,arrive
BS                  ,ER3                 ,B                   ,B3099               ,depart
BS                  ,ER3                 ,B                   ,B3280               ,arrive
BS                  ,ER3                 ,B                   ,B3280               ,depart
BS                  ,ER3                 ,B                   ,B3282               ,arrive
BS                  ,ER3                 ,B                   ,B3282               ,depart
BS                  ,ER3                 ,B                   ,B3295               ,arrive
BS                  ,ER3                 ,B                   ,B3295               ,depart
BS                  ,ER3                 ,B                   ,HSDID               ,arrive
BS                  ,ER3                 ,B                   ,HSDID               ,depart
BS                  ,ER3                 ,B                   ,JBE101              ,arrive
BS                  ,ER3                 ,B                   ,JBE101              ,depart
BS                  ,ER3                 ,B                   ,JBE102              ,arrive
BS                  ,ER3                 ,B                   ,JBE102              ,depart
BS                  ,ER3                 ,B                   ,JBE103              ,depart
BS                  ,ER3                 ,B                   ,JBE105              ,arrive
BS                  ,ER3                 ,B                   ,JBE132              ,arrive
BS                  ,ER3                 ,B                   ,JBE201              ,depart
BS                  ,ER3                 ,B                   ,JBE202              ,arrive
BS                  ,ER3                 ,B                   ,JBE261              ,depart
BS                  ,ER3                 ,B                   ,JBE301              ,depart
BS                  ,ER3                 ,B                   ,JBE302              ,arrive
BS                  ,ER3                 ,B                   ,JBE306              ,arrive
BS                  ,ER3                 ,B                   ,JBE307              ,depart
BS                  ,ER3                 ,B                   ,JBE311              ,depart
BS                  ,ER3                 ,B                   ,JBE320              ,depart
BS                  ,ER3                 ,B                   ,JBE501              ,depart
BS                  ,ER3                 ,B                   ,JBE502              ,arrive
BS                  ,ER3                 ,B                   ,JBE503              ,depart
BS                  ,ER3                 ,B                   ,JBE508              ,arrive
BS                  ,ER3                 ,B                   ,JBE521              ,depart
BS                  ,ER3                 ,B                   ,JBE522              ,arrive
BS                  ,ER3                 ,B                   ,JBE523              ,arrive
BS                  ,ER3                 ,B                   ,JBE531              ,depart
BS                  ,ER3                 ,B                   ,JBE532              ,arrive
BS                  ,ER3                 ,B                   ,JBE622              ,arrive
BS                  ,ER3                 ,B                   ,JBE701              ,depart
BS                  ,ER3                 ,B                   ,JBE702              ,arrive
BS                  ,ER3                 ,B                   ,JBE711              ,depart
BS                  ,ER3                 ,B                   ,JBE712              ,arrive
BS                  ,F2K                 ,B                   ,B1999               ,arrive
BS                  ,F2K                 ,B                   ,B1999               ,depart
BS                  ,F2K                 ,B                   ,B3211               ,arrive
BS                  ,F2K                 ,B                   ,B3211               ,depart
BS                  ,F2K                 ,B                   ,BMAZ                ,arrive
BS                  ,F2K                 ,B                   ,BMAZ                ,depart
BS                  ,F2K                 ,B                   ,N957CP              ,arrive
BS                  ,F2K                 ,B                   ,N957CP              ,depart
BS                  ,F2K                 ,B                   ,NSJ999              ,arrive
BS                  ,F2K                 ,B                   ,NSJ999              ,depart
BS                  ,F2K                 ,B                   ,NSJ999A             ,arrive
BS                  ,F2K                 ,B                   ,NSJ999A             ,depart
BS                  ,F2K                 ,B                   ,XADFN               ,arrive
BS                  ,F2K                 ,B                   ,XADFN               ,depart
BS                  ,F7X                 ,B                   ,B3333               ,arrive
BS                  ,F7X                 ,B                   ,B3333               ,depart
BS                  ,F7X                 ,B                   ,B8028               ,arrive
BS                  ,F7X                 ,B                   ,B8028               ,depart
BS                  ,F7X                 ,B                   ,B8029               ,arrive
BS                  ,F7X                 ,B                   ,B8029               ,depart
BS                  ,F7X                 ,B                   ,B8211               ,arrive
BS                  ,F7X                 ,B                   ,B8211               ,depart
BS                  ,F7X                 ,B                   ,B8215               ,arrive
BS                  ,F7X                 ,B                   ,B8215               ,depart
BS                  ,F7X                 ,B                   ,B8216               ,arrive
BS                  ,F7X                 ,B                   ,B8216               ,depart
BS                  ,F7X                 ,B                   ,BWJ668              ,arrive
BS                  ,F7X                 ,B                   ,BWJ668              ,depart
BS                  ,F7X                 ,B                   ,CWR301              ,arrive
BS                  ,F7X                 ,B                   ,CWR301              ,depart
BS                  ,F7X                 ,B                   ,CWR302              ,arrive
BS                  ,F7X                 ,B                   ,CWR302              ,depart
BS                  ,F7X                 ,B                   ,GSTMT               ,arrive
BS                  ,F7X                 ,B                   ,GSTMT               ,depart
BS                  ,F7X                 ,B                   ,GZP9617             ,arrive
BS                  ,F7X                 ,B                   ,GZP9618             ,depart
BS                  ,F7X                 ,B                   ,JBE502              ,arrive
BS                  ,F7X                 ,B                   ,JBE503              ,depart
BS                  ,F7X                 ,B                   ,JBE512              ,arrive
BS                  ,F7X                 ,B                   ,JBE513              ,depart
BS                  ,F7X                 ,B                   ,LLJ821              ,arrive
BS                  ,F7X                 ,B                   ,LLJ821              ,depart
BS                  ,F7X                 ,B                   ,LLJ822              ,arrive
BS                  ,F7X                 ,B                   ,LLJ823              ,arrive
BS                  ,F7X                 ,B                   ,LXA8X               ,arrive
BS                  ,F7X                 ,B                   ,LXA8X               ,depart
BS                  ,F7X                 ,B                   ,MMD1575             ,arrive
BS                  ,F7X                 ,B                   ,MMD1575             ,depart
BS                  ,F7X                 ,B                   ,MWANG               ,arrive
BS                  ,F7X                 ,B                   ,MWANG               ,depart
BS                  ,F7X                 ,B                   ,MZJBT               ,arrive
BS                  ,F7X                 ,B                   ,MZJBT               ,depart
BS                  ,F7X                 ,B                   ,N622YM              ,arrive
BS                  ,F7X                 ,B                   ,N622YM              ,depart
BS                  ,F7X                 ,B                   ,N656FN              ,arrive
BS                  ,F7X                 ,B                   ,N656FN              ,depart
BS                  ,F7X                 ,B                   ,N787AD              ,arrive
BS                  ,F7X                 ,B                   ,N787AD              ,depart
BS                  ,F7X                 ,B                   ,N8000E              ,arrive
BS                  ,F7X                 ,B                   ,N8000E              ,depart
BS                  ,F7X                 ,B                   ,N996MS              ,arrive
BS                  ,F7X                 ,B                   ,N996MS              ,depart
BS                  ,F7X                 ,B                   ,TBJ73               ,arrive
BS                  ,F7X                 ,B                   ,TBJ73               ,depart
BS                  ,F7X                 ,B                   ,VHCRW               ,arrive
BS                  ,F7X                 ,B                   ,VHCRW               ,depart
BS                  ,F7X                 ,B                   ,VMP888              ,arrive
BS                  ,F7X                 ,B                   ,VMP888              ,depart
BS                  ,F7X                 ,B                   ,VPCFL               ,arrive
BS                  ,F7X                 ,B                   ,VPCFL               ,depart
BS                  ,F7X                 ,B                   ,VPCZS               ,arrive
BS                  ,F7X                 ,B                   ,VPCZS               ,depart
BS                  ,F7X                 ,B                   ,VQBVS               ,arrive
BS                  ,F7X                 ,B                   ,VQBVS               ,depart
BS                  ,F8X                 ,B                   ,BWJ567              ,arrive
BS                  ,F8X                 ,B                   ,BWJ567              ,depart
BS                  ,F8X                 ,B                   ,FGCDP               ,arrive
BS                  ,F8X                 ,B                   ,FGCDP               ,depart
BS                  ,F8X                 ,B                   ,MMD2399             ,arrive
BS                  ,F8X                 ,B                   ,MMD2399             ,depart
BS                  ,F9D                 ,B                   ,GZP9613             ,arrive
BS                  ,F9D                 ,B                   ,GZP9614             ,depart
BS                  ,F9D                 ,B                   ,MLANG               ,depart
BS                  ,F9D                 ,B                   ,N577QT              ,arrive
BS                  ,F9D                 ,B                   ,N577QT              ,depart
BS                  ,F9D                 ,B                   ,TBJ70               ,arrive
BS                  ,F9D                 ,B                   ,TBJ70               ,depart
BS                  ,G15                 ,B                   ,CFRJZ               ,arrive
BS                  ,G15                 ,B                   ,CFRJZ               ,depart
BS                  ,G28                 ,B                   ,B3272               ,arrive
BS                  ,G28                 ,B                   ,B3272               ,depart
BS                  ,G28                 ,B                   ,JBE101              ,arrive
BS                  ,G28                 ,B                   ,JBE201              ,depart
BS                  ,G28                 ,B                   ,JBE301              ,depart
BS                  ,G28                 ,B                   ,JBE302              ,arrive
BS                  ,G28                 ,B                   ,JBE521              ,depart
BS                  ,G28                 ,B                   ,JBE522              ,arrive
BS                  ,G28                 ,B                   ,JBE601              ,depart
BS                  ,G28                 ,B                   ,JBE603              ,arrive
BS                  ,G28                 ,B                   ,JBE605              ,depart
BS                  ,G2D                 ,B                   ,B8277               ,depart
BS                  ,G2D                 ,B                   ,BWJ200              ,arrive
BS                  ,G2D                 ,B                   ,BWJ200              ,depart
BS                  ,G2D                 ,B                   ,ICU801              ,arrive
BS                  ,G2D                 ,B                   ,ICU803              ,depart
