rownum,flightcompany,flighttype,flightclass,flightnumber,apron,stand,rdy,direction,runway,terminal
5248,CA                  ,738,C                   ,CA1804              ,P4                  ,465,2018/9/12 23:55,arrive,36R                 ,T3C
5249,CA                  ,738,C                   ,CA1598              ,P3                  ,351,2018/9/12 23:55,arrive,36R                 ,T3C
5251,MU                  ,332,E                   ,MU712               ,P6                  ,605,2018/9/13 0:05,arrive,36L                 ,T2
5252,CZ                  ,332,E                   ,CZ3171              ,P6                  ,611,2018/9/13 0:05,arrive,36L                 ,T2
5253,CA                  ,738,C                   ,CA1134              ,P4                  ,461,2018/9/13 0:10,arrive,36R                 ,T3C
5254,MF                  ,738,C                   ,MF8002              ,P7                  ,712,2018/9/13 0:10,arrive,36R                 ,T2
5255,CN                  ,738,C                   ,CN7180              ,PW1                 ,W108                ,2018/9/13 0:15,arrive,36L                 ,T1
5256,MF                  ,738,C                   ,MF8121              ,P7                  ,734,2018/9/13 0:15,arrive,36L                 ,T2
5257,CZ                  ,333,E                   ,CZ3107              ,P6                  ,604,2018/9/13 0:15,arrive,36R                 ,T2
5258,CN                  ,738,C                   ,CN7150              ,PW2                 ,W204                ,2018/9/13 0:15,arrive,36R                 ,T1
5259,CZ                  ,321,C                   ,CZ8246              ,PN1                 ,N106R               ,2018/9/13 0:20,arrive,36R                 ,T2
5260,HU                  ,789,E                   ,HU7136              ,P8                  ,807,2018/9/13 0:20,arrive,36L                 ,T2
5261,HO                  ,321,C                   ,HO1251              ,PN2                 ,N201                ,2018/9/13 0:20,arrive,36R                 ,T3C
5262,MU                  ,738,C                   ,MU5492              ,P2                  ,253,2018/9/13 0:20,arrive,36L                 ,T2
5263,MF                  ,738,C                   ,MF8131              ,P6                  ,602,2018/9/13 0:25,arrive,36R                 ,T2
5264,DZ                  ,738,C                   ,DZ6203              ,PN2                 ,N213                ,2018/9/13 0:25,arrive,36L                 ,T3C
5266,ZH                  ,320,C                   ,ZH9111              ,P5                  ,551,2018/9/13 0:30,arrive,36R                 ,T3C
5267,CA                  ,321,C                   ,CA1226              ,P4                  ,458,2018/9/13 0:30,arrive,36L                 ,T3C
5268,CZ                  ,320,C                   ,CZ3683              ,P7                  ,735,2018/9/13 0:35,arrive,36R                 ,T2
5269,CZ                  ,738,C                   ,CZ6164              ,P8                  ,820,2018/9/13 0:35,arrive,36L                 ,T2
5270,HU                  ,789,E                   ,HU7612              ,PW1                 ,W111                ,2018/9/13 0:40,arrive,36R                 ,T2
5272,CA                  ,752,D                   ,CA1083              ,PN1                 ,N101                ,2018/9/13 0:45,depart,1,T3C
5274,CZ                  ,320,C                   ,CZ6118              ,P7                  ,733,2018/9/13 0:45,arrive,36L                 ,T2
5275,MU                  ,738,C                   ,MU2602              ,P7                  ,723,2018/9/13 0:45,arrive,36R                 ,T2
5276,JD                  ,319,C                   ,JD5212              ,PN12                ,N123                ,2018/9/13 0:50,arrive,36L                 ,T1
5277,MU                  ,321,C                   ,MU5198              ,P8                  ,801,2018/9/13 0:50,arrive,36R                 ,T2
5278,CA                  ,738,C                   ,CA1282              ,PN12                ,N125                ,2018/9/13 0:50,arrive,36R                 ,T3C
5279,MU                  ,738,C                   ,MU5217              ,P8                  ,815,2018/9/13 0:50,arrive,36L                 ,T2
5280,HU                  ,738,C                   ,HU7232              ,PW1                 ,W110                ,2018/9/13 0:55,arrive,36R                 ,T2
5281,CA                  ,7M8                 ,C                   ,CA1292              ,P3                  ,355,2018/9/13 0:55,arrive,36R                 ,T3C
5282,JD                  ,321,C                   ,JD5352              ,PN12                ,N121                ,2018/9/13 0:55,arrive,36R                 ,T1
5283,HU                  ,738,C                   ,HU7738              ,PW1                 ,W112                ,2018/9/13 0:55,arrive,36L                 ,T2
5284,JD                  ,333,E                   ,JD456               ,P2                  ,254,2018/9/13 0:55,arrive,36L                 ,T1
5285,CA                  ,789,E                   ,CA907               ,P4                  ,455,2018/9/13 0:55,depart,1,T3E
5286,BS                  ,G5L                 ,B                   ,B8292               ,P62                 ,627,2018/9/13 1:00,arrive,36R                 ,T2
5287,CV                  ,74Z                 ,F                   ,CV648               ,PN1                 ,N109                ,2018/9/13 1:00,arrive,36L                 ,T3E
5288,CA                  ,738,C                   ,CA1150              ,P5                  ,553,2018/9/13 1:00,arrive,36R                 ,T3C
5289,BG                  ,A4F                 ,F                   ,VDA9426             ,PN2                 ,N205                ,2018/9/13 1:00,arrive,,T2
5290,CA                  ,789,E                   ,CA783               ,P5                  ,565,2018/9/13 1:05,depart,1,T3E
5291,CZ                  ,321,C                   ,CZ6922              ,P8                  ,803,2018/9/13 1:10,arrive,36R                 ,T2
5292,HU                  ,789,E                   ,HU7176              ,P6                  ,609,2018/9/13 1:10,arrive,36R                 ,T2
5293,CZ                  ,333,E                   ,CZ3165              ,P8                  ,811,2018/9/13 1:10,arrive,36L                 ,T2
5296,JD                  ,320,C                   ,JD5118              ,PW2                 ,W201                ,2018/9/13 1:15,arrive,36R                 ,T1
5297,J2                  ,763,D                   ,J2068               ,P8                  ,803,2018/9/13 1:15,depart,1,T2
5298,HU                  ,333,E                   ,HU491               ,PW1                 ,W111                ,2018/9/13 1:20,depart,1,T2
5299,HU                  ,789,E                   ,HU7702              ,PW2                 ,W210                ,2018/9/13 1:25,arrive,36L                 ,T2
5301,CA                  ,7M8                 ,C                   ,CA960               ,P4                  ,462,2018/9/13 1:25,arrive,36L                 ,T3E
5302,HU                  ,789,E                   ,HU7836              ,PW1                 ,W107                ,2018/9/13 1:30,arrive,36L                 ,T2
5303,HU                  ,788,E                   ,HU751               ,P6                  ,608,2018/9/13 1:30,depart,36R                 ,T2
5304,BS                  ,G5L                 ,B                   ,NSJ901              ,P62                 ,628,2018/9/13 1:30,arrive,36R                 ,T2
5305,HU                  ,333,E                   ,HU7903              ,P8                  ,809,2018/9/13 1:45,depart,36R                 ,T2
5306,GJ                  ,320,C                   ,GJ8976              ,PN2                 ,N212                ,2018/9/13 1:50,arrive,36L                 ,T3C
5308,CA                  ,738,C                   ,CA1130              ,P5                  ,552,2018/9/13 1:55,arrive,36R                 ,T3C
5310,CA                  ,77F                 ,E                   ,CA1081              ,PN1                 ,N109                ,2018/9/13 2:00,depart,36R                 ,T3C
5311,CA                  ,77F                 ,E                   ,CA8409              ,PN2                 ,N210                ,2018/9/13 2:10,depart,1,T3C
5313,CA                  ,332,E                   ,CA861               ,P5                  ,561,2018/9/13 2:25,depart,36R                 ,T3E
5314,CA                  ,332,E                   ,CA845               ,P4                  ,463,2018/9/13 2:30,depart,36R                 ,T3E
5315,CA                  ,773,E                   ,CA856D              ,P9                  ,951,2018/9/13 2:30,arrive,36R                 ,T3C
5317,CV                  ,74Z                 ,F                   ,CV749               ,PN1                 ,N109                ,2018/9/13 2:50,depart,1,T3E
5319,Y8                  ,734,C                   ,Y87967              ,P8                  ,816,2018/9/13 3:30,arrive,36L                 ,T2
5320,JD                  ,G5L                 ,B                   ,B8258               ,P62                 ,627,2018/9/13 3:50,arrive,36L                 ,T1
5321,Y8                  ,733,C                   ,Y87985              ,P8                  ,817,2018/9/13 4:10,arrive,36L                 ,T2
5322,CA                  ,332,E                   ,CA878               ,P9                  ,937,2018/9/13 4:10,arrive,36L                 ,T3E
5323,Y8                  ,734,C                   ,Y87968              ,P8                  ,816,2018/9/13 4:20,depart,36L                 ,T2
5325,CA                  ,789,E                   ,CA876               ,P9                  ,936,2018/9/13 4:45,arrive,36L                 ,T3E
5328,CA                  ,332,E                   ,CA738               ,P5                  ,561,2018/9/13 4:50,arrive,36L                 ,T3E
5330,CA                  ,7M8                 ,C                   ,CA824               ,P4                  ,455,2018/9/13 5:00,arrive,36L                 ,T3E
5331,HU                  ,333,E                   ,HU7958              ,P8                  ,809,2018/9/13 5:00,arrive,36L                 ,T2
5333,CA                  ,333,E                   ,CA964               ,PN2                 ,N203                ,2018/9/13 5:05,arrive,36L                 ,T3E
5334,Y8                  ,733,C                   ,Y87986              ,P8                  ,817,2018/9/13 5:10,depart,36L                 ,T2
5335,Y8                  ,733,C                   ,Y87979              ,P8                  ,817,2018/9/13 5:15,arrive,36L                 ,T2
5336,HU                  ,333,E                   ,HU7938              ,PN2                 ,N208                ,2018/9/13 5:20,arrive,36L                 ,T2
5337,CA                  ,789,E                   ,CA970               ,P5                  ,565,2018/9/13 5:30,arrive,36L                 ,T3E
5338,CA                  ,332,E                   ,CA950               ,P4                  ,463,2018/9/13 5:30,arrive,36L                 ,T3E
5339,CA                  ,333,E                   ,CA085               ,P9                  ,953,2018/9/13 5:40,depart,36R                 ,T3E
5341,GJ                  ,320,C                   ,GJ8975              ,PN2                 ,N212                ,2018/9/13 5:50,depart,1,T3C
5343,JD                  ,332,E                   ,JD460               ,P6                  ,608,2018/9/13 5:50,arrive,36L                 ,T1
5344,AF                  ,773,E                   ,AF128               ,P2                  ,254,2018/9/13 5:55,arrive,36L                 ,T2
5347,CA                  ,738,C                   ,CA1109              ,P5                  ,563,2018/9/13 6:00,depart,1,T3C
5348,CA                  ,321,C                   ,CA1131              ,P4                  ,458,2018/9/13 6:05,depart,1,T3C
5349,Y8                  ,733,C                   ,Y87980              ,P8                  ,817,2018/9/13 6:05,depart,36R                 ,T2
5350,CA                  ,738,C                   ,CA1135              ,P5                  ,560,2018/9/13 6:10,depart,36R                 ,T3C
5351,CA                  ,738,C                   ,CA1585              ,P5                  ,553,2018/9/13 6:15,depart,1,T3C
5352,3U                  ,320,C                   ,3U8896              ,P5                  ,559,2018/9/13 6:20,depart,36R                 ,T3C
5353,MF                  ,738,C                   ,MF8001              ,P7                  ,712,2018/9/13 6:20,depart,36R                 ,T2
5354,CA                  ,7M8                 ,C                   ,CA980               ,P4                  ,458,2018/9/13 6:20,arrive,1,T3E
5355,SC                  ,738,C                   ,SC4603              ,P4                  ,459,2018/9/13 6:25,depart,36R                 ,T3C
5356,DZ                  ,738,C                   ,DZ6204              ,PN2                 ,N213                ,2018/9/13 6:25,depart,1,T3C
5357,ZH                  ,320,C                   ,ZH9112              ,P5                  ,551,2018/9/13 6:25,depart,1,T3C
5358,CA                  ,319,C                   ,CA1419              ,P4                  ,451,2018/9/13 6:25,depart,36R                 ,T3C
5359,CZ                  ,332,E                   ,CZ3166              ,PN1                 ,N107                ,2018/9/13 6:30,depart,36L                 ,T2
5360,CZ                  ,321,C                   ,CZ6137              ,P7                  ,713,2018/9/13 6:30,depart,36L                 ,T2
5361,MU                  ,738,C                   ,MU2129              ,P8                  ,815,2018/9/13 6:30,depart,36L                 ,T2
5362,MF                  ,738,C                   ,MF8122              ,P7                  ,734,2018/9/13 6:30,depart,36R                 ,T2
5363,BS                  ,G5L                 ,B                   ,N128GV              ,P25                 ,251,2018/9/13 6:30,depart,36R                 ,T2
5364,HU                  ,789,E                   ,HU7611              ,PW1                 ,W107                ,2018/9/13 6:35,depart,36R                 ,T2
5366,FM                  ,738,C                   ,FM9158              ,P7                  ,724,2018/9/13 6:40,depart,36R                 ,T2
5367,CZ                  ,332,E                   ,CZ3173              ,PN1                 ,N103                ,2018/9/13 6:40,depart,36L                 ,T2
5368,MU                  ,73G                 ,C                   ,MU9724              ,P8                  ,818,2018/9/13 6:40,depart,36L                 ,T2
5369,CA                  ,738,C                   ,CA1287              ,P4                  ,452,2018/9/13 6:40,depart,36R                 ,T3C
5370,JD                  ,319,C                   ,JD5767              ,PW1                 ,W106                ,2018/9/13 6:45,depart,36R                 ,T1
5371,CA                  ,738,C                   ,CA1113              ,P4                  ,453,2018/9/13 6:45,depart,36R                 ,T3C
5372,MF                  ,738,C                   ,MF8160              ,P8                  ,814,2018/9/13 6:45,depart,36R                 ,T2
5374,3U                  ,319,C                   ,3U8819              ,P5                  ,558,2018/9/13 6:50,depart,36R                 ,T3C
5375,CA                  ,320,C                   ,CA1621              ,P3                  ,360,2018/9/13 6:50,depart,1,T3C
5376,HO                  ,321,C                   ,HO1252              ,PN2                 ,N201                ,2018/9/13 6:50,depart,1,T3C
5377,JD                  ,319,C                   ,JD5595              ,PN12                ,N123                ,2018/9/13 6:50,depart,1,T1
5378,CZ                  ,321,C                   ,CZ3183              ,P8                  ,803,2018/9/13 6:50,depart,36L                 ,T2
5379,CZ                  ,738,C                   ,CZ6186              ,P7                  ,722,2018/9/13 6:50,depart,36L                 ,T2
5380,JD                  ,332,E                   ,JD5577              ,P7                  ,701,2018/9/13 6:50,depart,36L                 ,T1
5381,MF                  ,738,C                   ,MF8132              ,P6                  ,602,2018/9/13 6:50,depart,36R                 ,T2
5382,CZ                  ,738,C                   ,CZ3740              ,P7                  ,732,2018/9/13 6:55,depart,36L                 ,T2
5383,JD                  ,321,C                   ,JD5351              ,PN12                ,N121                ,2018/9/13 6:55,depart,1,T1
5384,CN                  ,738,C                   ,CN7669              ,PW2                 ,W204                ,2018/9/13 6:55,depart,36L                 ,T1
5385,MU                  ,321,C                   ,MU5149              ,P8                  ,802,2018/9/13 6:55,depart,36R                 ,T2
5386,MU                  ,320,C                   ,MU2072              ,P8                  ,803,2018/9/13 6:55,arrive,36L                 ,T2
5387,CA                  ,738,C                   ,CA1119              ,P3                  ,352,2018/9/13 7:00,depart,36R                 ,T3C
5388,HU                  ,332,E                   ,HU7245              ,P8                  ,808,2018/9/13 7:00,depart,36L                 ,T2
5389,MU                  ,738,C                   ,MU2255              ,P8                  ,812,2018/9/13 7:00,depart,36L                 ,T2
5390,HU                  ,333,E                   ,HU7189              ,PW2                 ,W209                ,2018/9/13 7:10,depart,36L                 ,T2
5391,MU                  ,333,E                   ,MU5181              ,P8                  ,810,2018/9/13 7:15,depart,36L                 ,T2
5392,MU                  ,321,C                   ,MU535               ,P8                  ,801,2018/9/13 7:15,depart,36R                 ,T2
5394,CZ                  ,320,C                   ,CZ6657              ,P7                  ,733,2018/9/13 7:20,depart,36R                 ,T2
5395,CA                  ,321,C                   ,CA1369              ,P4                  ,456,2018/9/13 7:20,depart,1,T3C
5396,CA                  ,738,C                   ,CA1269              ,P4                  ,454,2018/9/13 7:25,depart,36R                 ,T3C
5397,HU                  ,332,E                   ,HU7129              ,PW1                 ,W105                ,2018/9/13 7:30,depart,36R                 ,T2
5398,CZ                  ,332,E                   ,CZ3116              ,P6                  ,611,2018/9/13 7:30,depart,36L                 ,T2
5399,BS                  ,GB5                 ,C                   ,MZT6087             ,P25                 ,252,2018/9/13 7:30,depart,36L                 ,T2
5400,CA                  ,7M8                 ,C                   ,CA1293              ,P4                  ,455,2018/9/13 7:30,depart,36R                 ,T3C
5401,CA                  ,738,C                   ,CA1231              ,P5                  ,564,2018/9/13 7:35,depart,36R                 ,T3C
5402,CZ                  ,321,C                   ,CZ6399              ,P7                  ,721,2018/9/13 7:35,depart,36L                 ,T2
5403,HU                  ,788,E                   ,HU7147              ,PW2                 ,W208                ,2018/9/13 7:40,depart,36L                 ,T2
5404,HU                  ,789,E                   ,HU7605              ,P8                  ,807,2018/9/13 7:40,depart,36R                 ,T2
5405,CZ                  ,321,C                   ,CZ6366              ,P7                  ,725,2018/9/13 7:45,depart,36L                 ,T2
5406,CA                  ,321,C                   ,CA1567              ,P4                  ,464,2018/9/13 7:45,depart,1,T3C
5407,HU                  ,789,E                   ,HU7805              ,P6                  ,609,2018/9/13 7:45,depart,36L                 ,T2
5408,HU                  ,333,E                   ,HU7277              ,PW1                 ,W104                ,2018/9/13 7:50,depart,36R                 ,T2
5409,CZ                  ,738,C                   ,CZ3286              ,P8                  ,820,2018/9/13 7:50,depart,36L                 ,T2
5410,JD                  ,320,C                   ,JD5759              ,PW2                 ,W201                ,2018/9/13 7:50,depart,36L                 ,T1
5411,CA                  ,320,C                   ,CA1273              ,P3                  ,353,2018/9/13 7:50,depart,36R                 ,T3C
5412,JD                  ,321,C                   ,JD5219              ,PN12                ,N122                ,2018/9/13 7:50,depart,36R                 ,T1
5413,CN                  ,738,C                   ,CN7215              ,PW1                 ,W108                ,2018/9/13 7:55,depart,36L                 ,T1
5414,CZ                  ,321,C                   ,CZ3256              ,P7                  ,731,2018/9/13 7:55,depart,36R                 ,T2
5415,HU                  ,789,E                   ,HU7382              ,PW2                 ,W210                ,2018/9/13 8:00,depart,36L                 ,T2
5416,CA                  ,319,C                   ,CA1469              ,P3                  ,354,2018/9/13 8:00,depart,36R                 ,T3C
5417,MU                  ,321,C                   ,MU5693              ,P7                  ,714,2018/9/13 8:05,depart,36R                 ,T2
5419,CA                  ,738,C                   ,CA1805              ,P4                  ,465,2018/9/13 8:10,depart,1,T3C
5420,MU                  ,738,C                   ,MU2035              ,P8                  ,804,2018/9/13 8:10,depart,36L                 ,T2
5421,MU                  ,738,C                   ,MU2460              ,P7                  ,723,2018/9/13 8:10,depart,36L                 ,T2
5422,MU                  ,320,C                   ,MU2467              ,P6                  ,610,2018/9/13 8:10,depart,36R                 ,T2
5423,HU                  ,333,E                   ,HU7703              ,PW2                 ,W203                ,2018/9/13 8:15,depart,36L                 ,T2
5424,CA                  ,333,E                   ,CA181               ,P5                  ,554,2018/9/13 8:20,depart,36R                 ,T3E
5425,CZ                  ,332,E                   ,CZ3907              ,PN1                 ,N104                ,2018/9/13 8:20,depart,36R                 ,T2
5427,BS                  ,F2K                 ,B                   ,N957CP              ,P62                 ,629,2018/9/13 8:20,arrive,36R                 ,T2
5428,CA                  ,752,D                   ,CA1084              ,PN1                 ,N101                ,2018/9/13 8:25,arrive,1,T3C
5429,CZ                  ,321,C                   ,CZ3108              ,PN1                 ,N106R               ,2018/9/13 8:30,depart,36R                 ,T2
5430,CA                  ,738,C                   ,CA1871              ,P5                  ,552,2018/9/13 8:30,depart,1,T3C
5431,MU                  ,320,C                   ,MU5156              ,P8                  ,803,2018/9/13 8:30,depart,36R                 ,T2
5432,MF                  ,789,E                   ,MF8150              ,PN1                 ,N105                ,2018/9/13 8:35,depart,36R                 ,T2
5433,MU                  ,738,C                   ,MU5714              ,P8                  ,813,2018/9/13 8:35,depart,36R                 ,T2
5434,MU                  ,333,E                   ,MU782               ,P8                  ,808,2018/9/13 8:40,arrive,36L                 ,T2
5436,CA                  ,73G                 ,C                   ,CA1423              ,P4                  ,460,2018/9/13 8:45,depart,36R                 ,T3C
5437,HU                  ,738,C                   ,HU7607              ,PW1                 ,W110                ,2018/9/13 8:45,depart,36R                 ,T2
5438,CA                  ,7M8                 ,C                   ,CA1651              ,P3                  ,355,2018/9/13 8:50,depart,1,T3C
5439,CA                  ,738,C                   ,CA1859              ,P4                  ,461,2018/9/13 8:50,depart,36R                 ,T3C
5440,CA                  ,738,C                   ,CA953               ,P3                  ,359,2018/9/13 8:50,depart,1,T3E
5441,HU                  ,333,E                   ,HU7966              ,PW2                 ,W208                ,2018/9/13 8:50,arrive,36L                 ,T2
5442,CA                  ,7M8                 ,C                   ,CA1117              ,P4                  ,457,2018/9/13 8:55,depart,36R                 ,T3C
5443,CA                  ,73G                 ,C                   ,CA1457              ,P3                  ,356,2018/9/13 8:55,depart,36R                 ,T3C
5444,MU                  ,333,E                   ,MU5104              ,PN1                 ,N108                ,2018/9/13 9:00,depart,36R                 ,T2
5445,HU                  ,332,E                   ,HU7711              ,PW2                 ,W205                ,2018/9/13 9:00,depart,36L                 ,T2
5446,CA                  ,738,C                   ,CA1429              ,P3                  ,351,2018/9/13 9:00,depart,36R                 ,T3C
5447,CA                  ,7M8                 ,C                   ,CA1461              ,P4                  ,462,2018/9/13 9:00,depart,36R                 ,T3C
5448,CZ                  ,333,E                   ,CZ3901              ,P6                  ,604,2018/9/13 9:00,depart,36R                 ,T2
5449,CZ                  ,320,C                   ,CZ3916              ,P7                  ,711,2018/9/13 9:00,depart,36R                 ,T2
5450,MU                  ,320,C                   ,MU2862              ,P8                  ,821,2018/9/13 9:05,depart,36R                 ,T2
5451,MU                  ,738,C                   ,MU2573              ,P8                  ,805,2018/9/13 9:05,depart,36L                 ,T2
5452,OQ                  ,320,C                   ,OQ2002              ,P8                  ,819,2018/9/13 9:05,depart,36L                 ,T2
5453,AF                  ,773,E                   ,AF125               ,P2                  ,254,2018/9/13 9:05,depart,36R                 ,T2
5454,MU                  ,321,C                   ,MU5195              ,P8                  ,801,2018/9/13 9:05,arrive,36L                 ,T2
5455,CA                  ,738,C                   ,CA1606              ,P3                  ,352,2018/9/13 9:10,arrive,1,T3C
5456,CZ                  ,788,E                   ,CZ6904              ,P6                  ,603,2018/9/13 9:10,depart,36R                 ,T2
5457,CZ                  ,738,C                   ,CZ3682              ,PN1                 ,N106L               ,2018/9/13 9:15,depart,36L                 ,T2
5458,CA                  ,320,C                   ,CA8202              ,P5                  ,562,2018/9/13 9:15,depart,36R                 ,T3C
5459,CZ                  ,320,C                   ,CZ6946              ,P7                  ,735,2018/9/13 9:20,depart,36L                 ,T2
5460,CA                  ,738,C                   ,CA1391              ,P3                  ,358,2018/9/13 9:20,depart,36R                 ,T3C
5461,MU                  ,320,C                   ,MU2427              ,P8                  ,805,2018/9/13 9:25,arrive,36L                 ,T2
5462,CA                  ,738,C                   ,CA1140              ,P3                  ,353,2018/9/13 9:30,arrive,1,T3C
5463,CA                  ,333,E                   ,CA111               ,P5                  ,555,2018/9/13 9:30,depart,36R                 ,T3E
5464,BS                  ,F8X                 ,B                   ,BWJ567              ,P25                 ,252,2018/9/13 9:30,arrive,36L                 ,T2
5465,MU                  ,321,C                   ,MU5177              ,P8                  ,802,2018/9/13 9:35,arrive,36L                 ,T2
5466,CA                  ,738,C                   ,CA1827              ,PN12                ,N125                ,2018/9/13 9:35,depart,36R                 ,T3C
5467,KE                  ,333,E                   ,KE829               ,P2                  ,254,2018/9/13 9:40,arrive,36L                 ,T2
5468,CA                  ,332,E                   ,CA946               ,P5                  ,554,2018/9/13 9:40,arrive,1,T3E
5469,CZ                  ,738,C                   ,CZ3117              ,P8                  ,813,2018/9/13 9:40,arrive,36L                 ,T2
5470,MU                  ,321,C                   ,MU2121              ,P8                  ,804,2018/9/13 9:45,arrive,36L                 ,T2
5471,CZ                  ,320,C                   ,CZ6201              ,P8                  ,803,2018/9/13 9:45,arrive,1,T2
5472,CZ                  ,321,C                   ,CZ3187              ,P7                  ,721,2018/9/13 9:55,arrive,36L                 ,T2
5473,MU                  ,738,C                   ,MU2569              ,P8                  ,812,2018/9/13 9:55,depart,36L                 ,T2
5474,CA                  ,738,C                   ,CA1121              ,P5                  ,556,2018/9/13 9:55,depart,36R                 ,T3C
5475,BS                  ,319,C                   ,KAY51               ,P7                  ,703,2018/9/13 10:00,depart,36L                 ,T2
5476,CZ                  ,333,E                   ,CZ3192              ,P7                  ,710,2018/9/13 10:00,depart,36L                 ,T2
5477,MU                  ,333,E                   ,MU5106              ,P8                  ,808,2018/9/13 10:00,depart,36R                 ,T2
5478,CA                  ,738,C                   ,CA1662              ,P3                  ,360,2018/9/13 10:00,arrive,1,T3C
5479,JD                  ,332,E                   ,JD5567              ,P6                  ,608,2018/9/13 10:05,depart,36R                 ,T1
5480,MU                  ,321,C                   ,MU7087              ,P8                  ,801,2018/9/13 10:10,depart,36R                 ,T2
5481,MU                  ,320,C                   ,MU2411              ,P8                  ,815,2018/9/13 10:10,arrive,36L                 ,T2
5482,CZ                  ,320,C                   ,CZ6145              ,P7                  ,723,2018/9/13 10:20,arrive,36L                 ,T2
5483,CA                  ,738,C                   ,CA1846              ,P3                  ,359,2018/9/13 10:20,arrive,1,T3C
5484,MU                  ,320,C                   ,MU2428              ,P8                  ,805,2018/9/13 10:25,depart,36L                 ,T2
5485,MU                  ,738,C                   ,MU2256              ,P8                  ,814,2018/9/13 10:30,arrive,36L                 ,T2
5486,BS                  ,GB5                 ,C                   ,VJT895              ,P62                 ,628,2018/9/13 10:30,arrive,1,T2
5487,HU                  ,332,E                   ,HU7710              ,PW2                 ,W209                ,2018/9/13 10:35,arrive,36L                 ,T2
5488,MF                  ,788,E                   ,MF8115              ,P8                  ,807,2018/9/13 10:35,arrive,36L                 ,T2
5489,OQ                  ,320,C                   ,OQ2001              ,P8                  ,814,2018/9/13 10:35,arrive,36L                 ,T2
5490,MU                  ,333,E                   ,MU5151              ,P8                  ,810,2018/9/13 10:35,arrive,36L                 ,T2
5491,MU                  ,321,C                   ,MU5178              ,P8                  ,802,2018/9/13 10:35,depart,36R                 ,T2
5492,CZ                  ,738,C                   ,CZ3118              ,P8                  ,813,2018/9/13 10:40,depart,36L                 ,T2
5493,HU                  ,332,E                   ,HU7348              ,PW2                 ,W203                ,2018/9/13 10:40,arrive,36L                 ,T2
5494,CZ                  ,320,C                   ,CZ6268              ,P8                  ,803,2018/9/13 10:45,depart,36R                 ,T2
5495,MU                  ,321,C                   ,MU2122              ,P8                  ,804,2018/9/13 10:50,depart,36R                 ,T2
5496,KE                  ,333,E                   ,KE880               ,P2                  ,254,2018/9/13 10:50,depart,36R                 ,T2
5497,HU                  ,333,E                   ,HU490               ,PW2                 ,W205                ,2018/9/13 10:50,arrive,36L                 ,T2
5498,CZ                  ,333,E                   ,CZ6120              ,P7                  ,703,2018/9/13 10:55,arrive,36L                 ,T2
5499,BS                  ,G5L                 ,B                   ,HHG886              ,P62                 ,627,2018/9/13 11:00,arrive,36L                 ,T2
5500,AS                  ,F7X                 ,B                   ,VPCZS               ,P25                 ,251,2018/9/13 11:00,arrive,36L                 ,T2
5501,CA                  ,738,C                   ,CA1808              ,P4                  ,459,2018/9/13 11:05,arrive,1,T3C
5502,HU                  ,789,E                   ,HU7164              ,P7                  ,710,2018/9/13 11:10,arrive,36L                 ,T2
5503,CZ                  ,789,E                   ,CZ3101              ,P8                  ,808,2018/9/13 11:10,arrive,36L                 ,T2
5504,CZ                  ,333,E                   ,CZ6183              ,PN2                 ,N209                ,2018/9/13 11:10,depart,36R                 ,T2
5505,TA                  ,CCJ                 ,B                   ,B7769               ,P7                  ,726,2018/9/13 11:15,depart,36R                 ,T2
5506,MU                  ,320,C                   ,MU2412              ,P8                  ,815,2018/9/13 11:15,depart,36R                 ,T2
5507,HU                  ,789,E                   ,HU7804              ,PW2                 ,W210                ,2018/9/13 11:15,arrive,36L                 ,T2
5508,CA                  ,738,C                   ,CA1332              ,P5                  ,558,2018/9/13 11:25,arrive,1,T3C
5509,CZ                  ,333,E                   ,CZ3112              ,P8                  ,811,2018/9/13 11:30,depart,36R                 ,T2
5510,CZ                  ,320,C                   ,CZ6146              ,P7                  ,723,2018/9/13 11:30,depart,36R                 ,T2
5511,MF                  ,788,E                   ,MF8116              ,P8                  ,807,2018/9/13 11:35,depart,36R                 ,T2
5512,OQ                  ,320,C                   ,OQ2329              ,P8                  ,814,2018/9/13 11:35,depart,36L                 ,T2
5513,CA                  ,332,E                   ,CA1485              ,P5                  ,554,2018/9/13 11:35,depart,36R                 ,T3C
5514,JD                  ,G65                 ,B                   ,JD369               ,P62                 ,626,2018/9/13 11:35,arrive,,T1
5515,CA                  ,333,E                   ,CA4101              ,P5                  ,555,2018/9/13 11:45,arrive,36L                 ,T3C
5516,MU                  ,321,C                   ,MU744               ,P8                  ,805,2018/9/13 11:50,arrive,1,T2
5517,MU                  ,321,C                   ,MU5694              ,P8                  ,802,2018/9/13 11:55,arrive,36L                 ,T2
5518,CA                  ,333,E                   ,CA882               ,P5                  ,554,2018/9/13 11:55,arrive,1,T3E
5519,HU                  ,332,E                   ,HU7807              ,PW2                 ,W203                ,2018/9/13 11:55,depart,36L                 ,T2
5520,BS                  ,ER3                 ,B                   ,B3295               ,P7                  ,734,2018/9/13 12:00,depart,36R                 ,T2
5521,BS                  ,G5L                 ,B                   ,B5999               ,P7                  ,728,2018/9/13 12:00,depart,36R                 ,T2
5522,CA                  ,332,E                   ,CA782               ,P5                  ,561,2018/9/13 12:10,arrive,36L                 ,T3E
5523,CZ                  ,380,F                   ,CZ3099              ,P7                  ,701,2018/9/13 12:10,arrive,36R                 ,T2
