rownum,flightcompany,flighttype,flightclass,flightnumber,apron,stand,rdy,direction,runway,terminal
5053,CZ                  ,321,C                   ,CZ323               ,P7                  ,724,2018/9/12 16:30,depart,18L                 ,T2
5054,MU                  ,333,E                   ,MU781               ,P8                  ,808,2018/9/12 16:30,depart,18L                 ,T2
5055,HU                  ,789,E                   ,HU7281              ,PW2                 ,W208                ,2018/9/12 16:40,arrive,18R                 ,T2
5056,MU                  ,320,C                   ,MU5155              ,P8                  ,805,2018/9/12 16:45,arrive,19,T2
5057,MU                  ,320,C                   ,MU5527              ,P8                  ,806,2018/9/12 16:45,arrive,18R                 ,T2
5058,MF                  ,738,C                   ,MF8664              ,P8                  ,820,2018/9/12 16:50,arrive,18R                 ,T2
5059,CZ                  ,333,E                   ,CZ6135              ,P7                  ,702,2018/9/12 16:50,depart,18L                 ,T2
5060,CZ                  ,333,E                   ,CZ3961              ,P8                  ,809,2018/9/12 17:00,depart,18R                 ,T2
5062,BS                  ,G5L                 ,B                   ,B5999               ,P7                  ,728,2018/9/12 17:00,depart,19,T2
5063,HU                  ,788,E                   ,HU7925              ,PW1                 ,W105                ,2018/9/12 17:10,depart,19,T2
5064,CZ                  ,789,E                   ,CZ3109              ,P8                  ,811,2018/9/12 17:10,arrive,18R                 ,T2
5065,MU                  ,773,E                   ,MU5115              ,PN1                 ,N104                ,2018/9/12 17:15,arrive,19,T2
5066,MU                  ,333,E                   ,MU563               ,P7                  ,709,2018/9/12 17:15,depart,18L                 ,T2
5067,CA                  ,7M8                 ,C                   ,CA1363              ,P4                  ,465,2018/9/12 17:20,depart,18L                 ,T3C
5068,CA                  ,333,E                   ,CA941               ,P4                  ,463,2018/9/12 17:20,depart,18L                 ,T3E
5069,HU                  ,789,E                   ,HU7701              ,PW2                 ,W209                ,2018/9/12 17:20,depart,18L                 ,T2
5070,CZ                  ,333,E                   ,CZ3902              ,P8                  ,807,2018/9/12 17:20,arrive,18R                 ,T2
5071,MU                  ,738,C                   ,MU5707              ,P7                  ,732,2018/9/12 17:25,arrive,18R                 ,T2
5072,CZ                  ,333,E                   ,CZ3122              ,P8                  ,807,2018/9/12 17:30,depart,18L                 ,T2
5073,HU                  ,788,E                   ,HU7601              ,P8                  ,810,2018/9/12 17:30,depart,18L                 ,T2
5074,BS                  ,GB5                 ,C                   ,N968BX              ,P7                  ,730,2018/9/12 17:35,arrive,19,T2
5075,CZ                  ,333,E                   ,CZ6149              ,P8                  ,808,2018/9/12 17:35,arrive,19,T2
5076,MU                  ,321,C                   ,MU272               ,P8                  ,804,2018/9/12 17:35,arrive,18R                 ,T2
5077,CA                  ,321,C                   ,CA1707              ,P4                  ,464,2018/9/12 17:40,arrive,19,T3C
5078,3U                  ,320,C                   ,3U8837              ,P5                  ,559,2018/9/12 17:45,arrive,18R                 ,T3C
5079,MU                  ,738,C                   ,MU2453              ,P8                  ,813,2018/9/12 17:45,arrive,18R                 ,T2
5080,CA                  ,321,C                   ,CA132               ,P4                  ,456,2018/9/12 17:45,arrive,19,T3E
5081,CZ                  ,321,C                   ,CZ8669              ,P8                  ,812,2018/9/12 17:45,depart,18L                 ,T2
5082,MU                  ,320,C                   ,MU2468              ,P8                  ,801,2018/9/12 17:50,arrive,19,T2
5083,CZ                  ,738,C                   ,CZ3687              ,P8                  ,814,2018/9/12 17:55,arrive,18R                 ,T2
5084,MU                  ,321,C                   ,MU5193              ,P8                  ,802,2018/9/12 17:55,arrive,19,T2
5085,CA                  ,738,C                   ,CA154               ,P3                  ,358,2018/9/12 17:55,arrive,19,T3E
5086,MF                  ,738,C                   ,MF8663              ,P8                  ,820,2018/9/12 17:55,depart,18L                 ,T2
5087,CZ                  ,320,C                   ,CZ6948              ,P8                  ,818,2018/9/12 17:55,depart,36L                 ,T2
5088,HU                  ,789,E                   ,HU7135              ,PW2                 ,W208                ,2018/9/12 18:05,depart,18L                 ,T2
5089,HU                  ,789,E                   ,HU498               ,PW2                 ,W210                ,2018/9/12 18:05,arrive,19,T2
5090,MU                  ,321,C                   ,MU2111              ,P8                  ,815,2018/9/12 18:05,arrive,18R                 ,T2
5091,MU                  ,321,C                   ,MU7088              ,P7                  ,714,2018/9/12 18:10,arrive,19,T2
5092,CA                  ,73G                 ,C                   ,CA122               ,P4                  ,460,2018/9/12 18:15,arrive,19,T3E
5093,MU                  ,320,C                   ,MU5528              ,P8                  ,806,2018/9/12 18:15,depart,18L                 ,T2
5094,CA                  ,319,C                   ,CA1957              ,PN2                 ,N207R               ,2018/9/12 18:20,arrive,19,T3C
5095,CZ                  ,321,C                   ,CZ3255              ,P8                  ,812,2018/9/12 18:25,arrive,19,T2
5096,CA                  ,7M8                 ,C                   ,CA823               ,P4                  ,462,2018/9/12 18:25,depart,18L                 ,T3E
5097,CZ                  ,789,E                   ,CZ3100              ,P8                  ,811,2018/9/12 18:30,depart,18L                 ,T2
5098,MU                  ,738,C                   ,MU5708              ,P7                  ,732,2018/9/12 18:35,depart,36L                 ,T2
5099,CZ                  ,333,E                   ,CZ3189              ,P8                  ,810,2018/9/12 18:35,arrive,18R                 ,T2
5100,CA                  ,332,E                   ,CA1316              ,P3                  ,361,2018/9/12 18:40,arrive,36R                 ,T3C
5101,MU                  ,321,C                   ,MU2116              ,P8                  ,804,2018/9/12 18:40,depart,18L                 ,T2
5102,CZ                  ,321,C                   ,CZ6150              ,P7                  ,721,2018/9/12 18:40,depart,19,T2
5103,CZ                  ,738,C                   ,CZ6163              ,P7                  ,723,2018/9/12 18:45,depart,18L                 ,T2
5104,MU                  ,738,C                   ,MU2601              ,P8                  ,813,2018/9/12 18:45,depart,18L                 ,T2
5105,CA                  ,333,E                   ,CA4105              ,P9                  ,953,2018/9/12 18:45,arrive,18R                 ,T3C
5106,MF                  ,788,E                   ,MF8119              ,P8                  ,809,2018/9/12 18:50,arrive,18R                 ,T2
5107,BS                  ,G5L                 ,B                   ,TBJ89               ,PN12                ,N121                ,2018/9/12 18:55,arrive,36R                 ,T2
5108,HU                  ,789,E                   ,HU7976              ,PW2                 ,W205                ,2018/9/12 19:00,arrive,19,T2
5109,HU                  ,789,E                   ,HU482               ,PW2                 ,W207                ,2018/9/12 19:00,arrive,18L                 ,T2
5110,MU                  ,773,E                   ,MU5124              ,PN1                 ,N104                ,2018/9/12 19:00,depart,36R                 ,T2
5111,MU                  ,320,C                   ,MU2073              ,P8                  ,801,2018/9/12 19:00,depart,18L                 ,T2
5112,MU                  ,321,C                   ,MU536               ,P8                  ,806,2018/9/12 19:05,arrive,18R                 ,T2
