id,flightcompany,flightnumber,flighttype,飞机编号,座位数,执飞飞机,日期,始发,计划到达,实际到达,计划起飞,实际起飞,航站楼,登机口,出口,方式,行李转盘,tag,频率,承运方
,CA                  ,CA1455,737,B5045,128,,6月28日,绵阳南郊机场,21:30,21:13,18:40,18:47,T2,29,,廊桥,,0,,
,CA                  ,CA4104              ,319-100,B6014,128,,6月28日,成都双流机场,22:00,21:12,18:30,18:22,T3,C34,,廊桥,,0,,
,ZH                  ,ZH1455,,B5045,128,,6月28日,绵阳南郊机场,21:30,21:13,18:40,18:47,T2,29,,廊桥,,0,,CA1455
,ZH                  ,ZH4104              ,319-100,B6014,128,,6月28日,成都双流机场,22:00,21:12,18:30,18:22,T3,C34,,廊桥,,0,,CA4104
2253,CA                  ,CA1635              ,319,B1976,159,,6月28日,沈阳桃仙机场,20:05,19:46,18:35,18:34,T3,C23,,廊桥,,10,,
,SC                  ,SC1600,737,B1761,159,CA1600,6月28日,威海大水泊机场,14:50,14:24,13:15,13:14,T3,,A,摆渡车,31,0,,
4297,HU                  ,HU7192              ,738,B1497,164,,6月28日,厦门高崎机场,19:30,22:38,16:35,20:05,T2,,国内,廊桥,13,10,,
,CA                  ,CA1413,738,B1529,167,,6月27日,昆明长水机场,18:05,17:49,14:15,14:38,T3,C14,,廊桥,,0,,
,CA                  ,CA1414,738,B1529,167,,6月27日,昆明长水机场,22:55,22:53,19:25,19:34,T3,,A,廊桥,32,0,,
1859,CA                  ,CA1491              ,738,B1529,167,CA1492              ,6月28日,遵义茅台机场,11:15,10:33,7:55,7:56,T3,C14,,廊桥,,1,2,
1860,CA                  ,CA1492              ,738,B1529,167,CA1492              ,6月28日,遵义茅台机场,14:55,14:22,12:05,12:04,T3,"A,C",,摆渡车,"32,49",10,2,
2962,CA                  ,CA8906              ,738,B5642,167,,6月28日,大连周水子机场,17:00,17:07,18:06,-,T3,C57,,摆渡车,,1,,
6427,NZ,NZ3736,737-800(WL),B1458,176,CA1560,2021/6/28,烟台蓬莱机场,16:25,16:04,15:00,15:07,T3,,A,廊桥,31,0,,
2058,CA                  ,CA1561              ,738,,185,,6月28日,南京禄口机场,16:20,15:42,14:15,14:19,T3,C33,,廊桥,,1,,
2059,CA                  ,CA1562              ,321,B6633,185,,6月28日,南京禄口机场,19:25,18:54,17:25,17:25,T3,,A,廊桥,32,10,,
,CA                  ,CA1900              ,321,B6633,185,,6月28日,南通兴东机场,12:55,12:45,10:55,11:06,T3,,C,,49,0,,
4214,HU                  ,HU7148              ,789,B1543,289,,6月28日,成都双流机场T2,14:55,15:07,12:10,12:34,T2,,国内,廊桥,13,10,,
123,3U                  ,3U8893              ,333,B5923,301,,6月28日,成都双流机场,19:30,19:31,16:30,16:58,T2,,国内,廊桥,12,10,,
107,3U                  ,3U8890              ,359,B304V,331,,6月28日,成都双流机场,22:00,21:49,18:40,19:12,T1,0:00,,摆渡车,,10,,
,CA                  ,CA1139              ,322,,-,,6月28日,运城张孝机场,18:50,18:27,17:00,17:09,T3,C59,,摆渡车,,0,,
1,3U                  ,3U8209              ,320,,,,,,,,,,,,,,,1,,
2,3U                  ,3U8210              ,320,,,,,,,,,,,,,,,1,,
3,3U                  ,3U821Z              ,320,,,,,,,,,,,,,,,1,,
4,3U                  ,3U8303              ,320,,,,,,,,,,,,,,,1,,
5,3U                  ,3U8303              ,321,,,,,,,,,,,,,,,1,,
6,3U                  ,3U8304              ,320,,,,,,,,,,,,,,,1,,
7,3U                  ,3U8304              ,321,,,,,,,,,,,,,,,1,,
8,3U                  ,3U8401              ,320,,,,,,,,,,,,,,,1,,
9,3U                  ,3U8402              ,320,,,,,,,,,,,,,,,1,,
10,3U                  ,3U8515              ,319,,,,,,,,,,,,,,,1,,
11,3U                  ,3U8516              ,319,,,,,,,,,,,,,,,1,,
12,3U                  ,3U8547              ,319,,,,,,,,,,,,,,,1,,
13,3U                  ,3U8547              ,320,,,,,,,,,,,,,,,1,,
14,3U                  ,3U8547              ,321,,,,,,,,,,,,,,,1,,
15,3U                  ,3U8547              ,332,,,,,,,,,,,,,,,1,,
16,3U                  ,3U8547              ,333,,,,,,,,,,,,,,,1,,
17,3U                  ,3U8548              ,319,,,,,,,,,,,,,,,1,,
18,3U                  ,3U8548              ,320,,,,,,,,,,,,,,,1,,
19,3U                  ,3U8548              ,321,,,,,,,,,,,,,,,1,,
20,3U                  ,3U8548              ,332,,,,,,,,,,,,,,,1,,
21,3U                  ,3U8548              ,333,,,,,,,,,,,,,,,1,,
22,3U                  ,3U8723              ,320,,,,,,,,,,,,,,,1,,
23,3U                  ,3U8724              ,320,,,,,,,,,,,,,,,1,,
24,3U                  ,3U8749              ,320,,,,,,,,,,,,,,,1,,
25,3U                  ,3U8750              ,320,,,,,,,,,,,,,,,1,,
26,3U                  ,3U8803              ,320,,,,,,,,,,,,,,,1,,
27,3U                  ,3U8804              ,320,,,,,,,,,,,,,,,1,,
28,3U                  ,3U8819              ,319,,,,,,,,,,,,,,,1,,
29,3U                  ,3U8820              ,319,,,,,,,,,,,,,,,1,,
30,3U                  ,3U8827              ,320,,,,,,,,,,,,,,,1,,
31,3U                  ,3U8827              ,321,,,,,,,,,,,,,,,1,,
32,3U                  ,3U8828              ,320,,,,,,,,,,,,,,,1,,
33,3U                  ,3U8828              ,321,,,,,,,,,,,,,,,1,,
34,3U                  ,3U8829              ,320,,,,,,,,,,,,,,,1,,
35,3U                  ,3U8829              ,321,,,,,,,,,,,,,,,1,,
36,3U                  ,3U8829              ,332,,,,,,,,,,,,,,,1,,
37,3U                  ,3U8830              ,320,,,,,,,,,,,,,,,1,,
38,3U                  ,3U8830              ,321,,,,,,,,,,,,,,,1,,
39,3U                  ,3U8830              ,332,,,,,,,,,,,,,,,1,,
40,3U                  ,3U8831              ,319,,,,,,,,,,,,,,,1,,
41,3U                  ,3U8831              ,320,,,,,,,,,,,,,,,1,,
42,3U                  ,3U8831              ,321,,,,,,,,,,,,,,,1,,
43,3U                  ,3U8831              ,332,,,,,,,,,,,,,,,1,,
44,3U                  ,3U8832              ,319,,,,,,,,,,,,,,,1,,
45,3U                  ,3U8832              ,320,,,,,,,,,,,,,,,1,,
46,3U                  ,3U8832              ,321,,,,,,,,,,,,,,,1,,
47,3U                  ,3U8832              ,332,,,,,,,,,,,,,,,1,,
48,3U                  ,3U8833              ,319,,,,,,,,,,,,,,,1,,
49,3U                  ,3U8833              ,320,,,,,,,,,,,,,,,1,,
50,3U                  ,3U8833              ,321,,,,,,,,,,,,,,,1,,
51,3U                  ,3U8833              ,332,,,,,,,,,,,,,,,1,,
52,3U                  ,3U8834              ,319,,,,,,,,,,,,,,,1,,
53,3U                  ,3U8834              ,320,,,,,,,,,,,,,,,1,,
54,3U                  ,3U8834              ,321,,,,,,,,,,,,,,,1,,
55,3U                  ,3U8834              ,332,,,,,,,,,,,,,,,1,,
56,3U                  ,3U8837              ,319,,,,,,,,,,,,,,,1,,
57,3U                  ,3U8837              ,320,,,,,,,,,,,,,,,1,,
58,3U                  ,3U8838              ,319,,,,,,,,,,,,,,,1,,
59,3U                  ,3U8838              ,320,,,,,,,,,,,,,,,1,,
60,3U                  ,3U8881              ,321,,,,,,,,,,,,,,,1,,
61,3U                  ,3U8881              ,332,,,,,,,,,,,,,,,1,,
62,3U                  ,3U8881              ,333,,,,,,,,,,,,,,,1,,
63,3U                  ,3U8881              ,359,,,,,,,,,,,,,,,1,,
64,3U                  ,3U8882              ,321,,,,,,,,,,,,,,,1,,
65,3U                  ,3U8882              ,332,,,,,,,,,,,,,,,1,,
66,3U                  ,3U8882              ,333,,,,,,,,,,,,,,,1,,
67,3U                  ,3U8882              ,359,,,,,,,,,,,,,,,1,,
68,3U                  ,3U8883              ,320,,,,,,,,,,,,,,,1,,
69,3U                  ,3U8883              ,321,,,,,,,,,,,,,,,1,,
70,3U                  ,3U8883              ,332,,,,,,,,,,,,,,,1,,
71,3U                  ,3U8883              ,333,,,,,,,,,,,,,,,1,,
72,3U                  ,3U8883              ,359,,,,,,,,,,,,,,,1,,
73,3U                  ,3U8884              ,320,,,,,,,,,,,,,,,1,,
74,3U                  ,3U8884              ,321,,,,,,,,,,,,,,,1,,
75,3U                  ,3U8884              ,332,,,,,,,,,,,,,,,1,,
76,3U                  ,3U8884              ,333,,,,,,,,,,,,,,,1,,
77,3U                  ,3U8884              ,359,,,,,,,,,,,,,,,1,,
78,3U                  ,3U8885              ,21N                 ,,,,,,,,,,,,,,,1,,
79,3U                  ,3U8885              ,319,,,,,,,,,,,,,,,1,,
80,3U                  ,3U8885              ,320,,,,,,,,,,,,,,,1,,
81,3U                  ,3U8885              ,321,,,,,,,,,,,,,,,1,,
82,3U                  ,3U8885              ,332,,,,,,,,,,,,,,,1,,
83,3U                  ,3U8885              ,333,,,,,,,,,,,,,,,1,,
84,3U                  ,3U8886              ,21N                 ,,,,,,,,,,,,,,,1,,
85,3U                  ,3U8886              ,319,,,,,,,,,,,,,,,1,,
86,3U                  ,3U8886              ,320,,,,,,,,,,,,,,,1,,
87,3U                  ,3U8886              ,321,,,,,,,,,,,,,,,1,,
88,3U                  ,3U8886              ,332,,,,,,,,,,,,,,,1,,
89,3U                  ,3U8886              ,333,,,,,,,,,,,,,,,1,,
90,3U                  ,3U8887              ,21N                 ,,,,,,,,,,,,,,,1,,
91,3U                  ,3U8887              ,319,,,,,,,,,,,,,,,1,,
92,3U                  ,3U8887              ,320,,,,,,,,,,,,,,,1,,
93,3U                  ,3U8887              ,321,,,,,,,,,,,,,,,1,,
94,3U                  ,3U8887              ,332,,,,,,,,,,,,,,,1,,
95,3U                  ,3U8887              ,333,,,,,,,,,,,,,,,1,,
96,3U                  ,3U8888              ,21N                 ,,,,,,,,,,,,,,,1,,
97,3U                  ,3U8888              ,319,,,,,,,,,,,,,,,1,,
98,3U                  ,3U8888              ,320,,,,,,,,,,,,,,,1,,
99,3U                  ,3U8888              ,321,,,,,,,,,,,,,,,1,,
100,3U                  ,3U8888              ,332,,,,,,,,,,,,,,,1,,
101,3U                  ,3U8888              ,333,,,,,,,,,,,,,,,1,,
102,3U                  ,3U8889              ,321,,,,,,,,,,,,,,,1,,
103,3U                  ,3U8889              ,333,,,,,,,,,,,,,,,1,,
104,3U                  ,3U8889              ,359,,,,,,,,,,,,,,,1,,
105,3U                  ,3U8890              ,321,,,,,,,,,,,,,,,1,,
106,3U                  ,3U8890              ,333,,,,,,,,,,,,,,,1,,
108,3U                  ,3U8891              ,319,,,,,,,,,,,,,,,1,,
109,3U                  ,3U8891              ,320,,,,,,,,,,,,,,,1,,
110,3U                  ,3U8891              ,321,,,,,,,,,,,,,,,1,,
111,3U                  ,3U8891              ,332,,,,,,,,,,,,,,,1,,
112,3U                  ,3U8891              ,333,,,,,,,,,,,,,,,1,,
113,3U                  ,3U8891              ,359,,,,,,,,,,,,,,,1,,
114,3U                  ,3U8892              ,319,,,,,,,,,,,,,,,1,,
115,3U                  ,3U8892              ,320,,,,,,,,,,,,,,,1,,
116,3U                  ,3U8892              ,321,,,,,,,,,,,,,,,1,,
117,3U                  ,3U8892              ,332,,,,,,,,,,,,,,,1,,
118,3U                  ,3U8892              ,333,,,,,,,,,,,,,,,1,,
119,3U                  ,3U8892              ,359,,,,,,,,,,,,,,,1,,
120,3U                  ,3U8893              ,320,,,,,,,,,,,,,,,1,,
121,3U                  ,3U8893              ,321,,,,,,,,,,,,,,,1,,
122,3U                  ,3U8893              ,332,,,,,,,,,,,,,,,1,,
124,3U                  ,3U8894              ,319,,,,,,,,,,,,,,,1,,
125,3U                  ,3U8894              ,320,,,,,,,,,,,,,,,1,,
126,3U                  ,3U8894              ,321,,,,,,,,,,,,,,,1,,
127,3U                  ,3U8894              ,332,,,,,,,,,,,,,,,1,,
128,3U                  ,3U8894              ,333,,,,,,,,,,,,,,,1,,
129,3U                  ,3U8895              ,319,,,,,,,,,,,,,,,1,,
130,3U                  ,3U8895              ,320,,,,,,,,,,,,,,,1,,
131,3U                  ,3U8895              ,321,,,,,,,,,,,,,,,1,,
132,3U                  ,3U8896              ,320,,,,,,,,,,,,,,,1,,
133,3U                  ,3U8896              ,321,,,,,,,,,,,,,,,1,,
134,5J                  ,5J668               ,320,,,,,,,,,,,,,,,1,,
135,5J                  ,5J669               ,320,,,,,,,,,,,,,,,1,,
136,5J                  ,5J672               ,320,,,,,,,,,,,,,,,1,,
137,5J                  ,5J673               ,320,,,,,,,,,,,,,,,1,,
138,7C                  ,7C8101              ,738,,,,,,,,,,,,,,,1,,
139,7C                  ,7C8102              ,738,,,,,,,,,,,,,,,1,,
140,8L                  ,8L9937              ,73G                 ,,,,,,,,,,,,,,,1,,
141,8L                  ,8L9938              ,73G                 ,,,,,,,,,,,,,,,1,,
142,8L                  ,8L9981              ,73G                 ,,,,,,,,,,,,,,,1,,
143,8L                  ,8L9982              ,73G                 ,,,,,,,,,,,,,,,1,,
144,AA                  ,AA180               ,789,,,,,,,,,,,,,,,1,,
145,AA                  ,AA180P              ,789,,,,,,,,,,,,,,,1,,
146,AA                  ,AA181               ,789,,,,,,,,,,,,,,,1,,
147,AA                  ,AA186               ,788,,,,,,,,,,,,,,,1,,
148,AA                  ,AA187               ,788,,,,,,,,,,,,,,,1,,
149,AA                  ,AA187               ,789,,,,,,,,,,,,,,,1,,
150,AA                  ,AA262               ,788,,,,,,,,,,,,,,,1,,
151,AA                  ,AA262               ,789,,,,,,,,,,,,,,,1,,
152,AA                  ,AA263               ,788,,,,,,,,,,,,,,,1,,
153,AA                  ,AA263               ,789,,,,,,,,,,,,,,,1,,
154,AA                  ,AA263P              ,788,,,,,,,,,,,,,,,1,,
155,AC                  ,AC015               ,773,,,,,,,,,,,,,,,1,,
156,AC                  ,AC029               ,773,,,,,,,,,,,,,,,1,,
157,AC                  ,AC029               ,789,,,,,,,,,,,,,,,1,,
158,AC                  ,AC030               ,773,,,,,,,,,,,,,,,1,,
159,AC                  ,AC030               ,789,,,,,,,,,,,,,,,1,,
160,AC                  ,AC031               ,772,,,,,,,,,,,,,,,1,,
161,AC                  ,AC031               ,773,,,,,,,,,,,,,,,1,,
162,AC                  ,AC032               ,772,,,,,,,,,,,,,,,1,,
163,AC                  ,AC032               ,773,,,,,,,,,,,,,,,1,,
164,AF                  ,AF125               ,772,,,,,,,,,,,,,,,1,,
165,AF                  ,AF125               ,773,,,,,,,,,,,,,,,1,,
166,AF                  ,AF128               ,772,,,,,,,,,,,,,,,1,,
167,AF                  ,AF128               ,773,,,,,,,,,,,,,,,1,,
168,AF                  ,AF381               ,772,,,,,,,,,,,,,,,1,,
169,AF                  ,AF381               ,773,,,,,,,,,,,,,,,1,,
170,AF                  ,AF382               ,772,,,,,,,,,,,,,,,1,,
171,AF                  ,AF382               ,773,,,,,,,,,,,,,,,1,,
172,AF                  ,AF384V              ,772,,,,,,,,,,,,,,,1,,
173,AH                  ,AH3060              ,332,,,,,,,,,,,,,,,1,,
174,AH                  ,AH3061              ,332,,,,,,,,,,,,,,,1,,
175,AS                  ,B3096               ,ER3                 ,,,,,,,,,,,,,,,1,,
176,AS                  ,B3271               ,G65                 ,,,,,,,,,,,,,,,1,,
177,AS                  ,B3358               ,G5L                 ,,,,,,,,,,,,,,,1,,
178,AS                  ,B3373               ,CL8                 ,,,,,,,,,,,,,,,1,,
179,AS                  ,B602L               ,GB5                 ,,,,,,,,,,,,,,,1,,
180,AS                  ,B602M               ,G65                 ,,,,,,,,,,,,,,,1,,
181,AS                  ,B6936               ,318,,,,,,,,,,,,,,,1,,
182,AS                  ,B7796               ,CCJ                 ,,,,,,,,,,,,,,,1,,
183,AS                  ,B8029               ,F7X                 ,,,,,,,,,,,,,,,1,,
184,AS                  ,B8105               ,GB6                 ,,,,,,,,,,,,,,,1,,
185,AS                  ,B8128               ,G4L                 ,,,,,,,,,,,,,,,1,,
186,AS                  ,B8195               ,GB6                 ,,,,,,,,,,,,,,,1,,
187,AS                  ,B8197               ,GB6                 ,,,,,,,,,,,,,,,1,,
188,AS                  ,B8205               ,F7X                 ,,,,,,,,,,,,,,,1,,
189,AS                  ,B8215               ,F7X                 ,,,,,,,,,,,,,,,1,,
190,AS                  ,B8216               ,F7X                 ,,,,,,,,,,,,,,,1,,
191,AS                  ,B8251               ,G45                 ,,,,,,,,,,,,,,,1,,
192,AS                  ,B8252               ,G45                 ,,,,,,,,,,,,,,,1,,
193,AS                  ,B8253               ,G45                 ,,,,,,,,,,,,,,,1,,
194,AS                  ,B8292               ,G5L                 ,,,,,,,,,,,,,,,1,,
195,AS                  ,IAM1435             ,762,,,,,,,,,,,,,,,1,,
196,AS                  ,MYANG               ,G45                 ,,,,,,,,,,,,,,,1,,
197,AS                  ,N588PX              ,G5L                 ,,,,,,,,,,,,,,,1,,
198,AS                  ,N656FN              ,F7X                 ,,,,,,,,,,,,,,,1,,
199,AS                  ,N878SC              ,GB6                 ,,,,,,,,,,,,,,,1,,
200,AS                  ,N999HZ              ,G5L                 ,,,,,,,,,,,,,,,1,,
201,AS                  ,RFF9006             ,IL9                 ,,,,,,,,,,,,,,,1,,
202,AS                  ,ROJ001              ,73G                 ,,,,,,,,,,,,,,,1,,
203,AS                  ,TBJ06               ,GB5                 ,,,,,,,,,,,,,,,1,,
204,AS                  ,TBJ73               ,F7X                 ,,,,,,,,,,,,,,,1,,
205,AS                  ,VPCCK               ,GB5                 ,,,,,,,,,,,,,,,1,,
206,AS                  ,VPCGP               ,G65                 ,,,,,,,,,,,,,,,1,,
207,AS                  ,VPCOR               ,G65                 ,,,,,,,,,,,,,,,1,,
208,AS                  ,VPCYL               ,G65                 ,,,,,,,,,,,,,,,1,,
209,AS                  ,VPCZS               ,F7X                 ,,,,,,,,,,,,,,,1,,
210,AY                  ,AY85                ,333,,,,,,,,,,,,,,,1,,
211,AY                  ,AY85                ,359,,,,,,,,,,,,,,,1,,
212,AY                  ,AY86                ,333,,,,,,,,,,,,,,,1,,
213,AY                  ,AY86                ,359,,,,,,,,,,,,,,,1,,
214,BA                  ,BA1038              ,789,,,,,,,,,,,,,,,1,,
215,BA                  ,BA1039              ,789,,,,,,,,,,,,,,,1,,
216,BA                  ,BA38                ,772,,,,,,,,,,,,,,,1,,
217,BA                  ,BA38                ,773,,,,,,,,,,,,,,,1,,
218,BA                  ,BA38                ,789,,,,,,,,,,,,,,,1,,
219,BA                  ,BA39                ,772,,,,,,,,,,,,,,,1,,
220,BA                  ,BA39                ,773,,,,,,,,,,,,,,,1,,
221,BA                  ,BA39                ,789,,,,,,,,,,,,,,,1,,
222,BG                  ,5NFGV               ,F7X                 ,,,,,,,,,,,,,,,1,,
223,BG                  ,ANGOLA3             ,F9D                 ,,,,,,,,,,,,,,,1,,
224,BG                  ,BEC021              ,CL8                 ,,,,,,,,,,,,,,,1,,
225,BG                  ,BOXER45             ,738,,,,,,,,,,,,,,,1,,
226,BG                  ,FAV2                ,319,,,,,,,,,,,,,,,1,,
227,BG                  ,GAF886              ,342,,,,,,,,,,,,,,,1,,
228,BG                  ,GAF921              ,343,,,,,,,,,,,,,,,1,,
229,BG                  ,IRAN06              ,343,,,,,,,,,,,,,,,1,,
230,BG                  ,JF002               ,744,,,,,,,,,,,,,,,1,,
231,BG                  ,KHALID1             ,G45                 ,,,,,,,,,,,,,,,1,,
232,BG                  ,OMA4005             ,CR2                 ,,,,,,,,,,,,,,,1,,
233,BG                  ,RSD007              ,IL9                 ,,,,,,,,,,,,,,,1,,
234,BG                  ,RSD009              ,T20                 ,,,,,,,,,,,,,,,1,,
235,BG                  ,RSD034              ,IL9                 ,,,,,,,,,,,,,,,1,,
236,BG                  ,RSD036              ,IL9                 ,,,,,,,,,,,,,,,1,,
237,BG                  ,RSD572              ,319,,,,,,,,,,,,,,,1,,
238,BG                  ,RSD736              ,F7X                 ,,,,,,,,,,,,,,,1,,
239,BG                  ,TTF9079             ,IL7                 ,,,,,,,,,,,,,,,1,,
240,BG                  ,TTF9080             ,IL7                 ,,,,,,,,,,,,,,,1,,
241,BG                  ,VDA9423             ,A4F                 ,,,,,,,,,,,,,,,1,,
242,BG                  ,VDA9424             ,A4F                 ,,,,,,,,,,,,,,,1,,
243,BG                  ,VDA9426             ,A4F                 ,,,,,,,,,,,,,,,1,,
244,BG                  ,VDA9428             ,A4F                 ,,,,,,,,,,,,,,,1,,
245,BG                  ,VDA9430             ,A4F                 ,,,,,,,,,,,,,,,1,,
246,BG                  ,VDA9431             ,A4F                 ,,,,,,,,,,,,,,,1,,
247,BR                  ,BR715               ,773,,,,,,,,,,,,,,,1,,
248,BR                  ,BR716               ,773,,,,,,,,,,,,,,,1,,
249,BS                  ,2CHIU               ,G3L                 ,,,,,,,,,,,,,,,1,,
250,BS                  ,5NFGS               ,G5L                 ,,,,,,,,,,,,,,,1,,
251,BS                  ,8PASD               ,G65                 ,,,,,,,,,,,,,,,1,,
252,BS                  ,ABP921              ,G5L                 ,,,,,,,,,,,,,,,1,,
253,BS                  ,ALP693              ,G5L                 ,,,,,,,,,,,,,,,1,,
254,BS                  ,ALP695              ,G5L                 ,,,,,,,,,,,,,,,1,,
255,BS                  ,ALP697              ,G5L                 ,,,,,,,,,,,,,,,1,,
256,BS                  ,B1999               ,F2K                 ,,,,,,,,,,,,,,,1,,
257,BS                  ,B2226               ,G5L                 ,,,,,,,,,,,,,,,1,,
258,BS                  ,B2977               ,G65                 ,,,,,,,,,,,,,,,1,,
259,BS                  ,B3028               ,CCJ                 ,,,,,,,,,,,,,,,1,,
260,BS                  ,B3096               ,ER3                 ,,,,,,,,,,,,,,,1,,
261,BS                  ,B3097               ,ER3                 ,,,,,,,,,,,,,,,1,,
262,BS                  ,B3099               ,ER3                 ,,,,,,,,,,,,,,,1,,
263,BS                  ,B3196               ,G5L                 ,,,,,,,,,,,,,,,1,,
264,BS                  ,B3211               ,F2K                 ,,,,,,,,,,,,,,,1,,
265,BS                  ,B3246               ,GB6                 ,,,,,,,,,,,,,,,1,,
266,BS                  ,B3271               ,G65                 ,,,,,,,,,,,,,,,1,,
267,BS                  ,B3272               ,G28                 ,,,,,,,,,,,,,,,1,,
268,BS                  ,B3275               ,G5L                 ,,,,,,,,,,,,,,,1,,
269,BS                  ,B3277               ,G65                 ,,,,,,,,,,,,,,,1,,
270,BS                  ,B3280               ,ER3                 ,,,,,,,,,,,,,,,1,,
271,BS                  ,B3282               ,ER3                 ,,,,,,,,,,,,,,,1,,
272,BS                  ,B3295               ,ER3                 ,,,,,,,,,,,,,,,1,,
273,BS                  ,B3327               ,G5L                 ,,,,,,,,,,,,,,,1,,
274,BS                  ,B3333               ,F7X                 ,,,,,,,,,,,,,,,1,,
275,BS                  ,B3358               ,G5L                 ,,,,,,,,,,,,,,,1,,
276,BS                  ,B3373               ,CL8                 ,,,,,,,,,,,,,,,1,,
277,BS                  ,B3563               ,CL8                 ,,,,,,,,,,,,,,,1,,
278,BS                  ,B3566               ,CCJ                 ,,,,,,,,,,,,,,,1,,
279,BS                  ,B3926               ,LRJ                 ,,,,,,,,,,,,,,,1,,
280,BS                  ,B54111              ,319,,,,,,,,,,,,,,,1,,
281,BS                  ,B56789              ,G65                 ,,,,,,,,,,,,,,,1,,
282,BS                  ,B5999               ,G5L                 ,,,,,,,,,,,,,,,1,,
283,BS                  ,B602L               ,GB5                 ,,,,,,,,,,,,,,,1,,
284,BS                  ,B602M               ,G65                 ,,,,,,,,,,,,,,,1,,
285,BS                  ,B602N               ,G65                 ,,,,,,,,,,,,,,,1,,
286,BS                  ,B6936               ,318,,,,,,,,,,,,,,,1,,
287,BS                  ,B7696               ,CCJ                 ,,,,,,,,,,,,,,,1,,
288,BS                  ,B7758               ,C90                 ,,,,,,,,,,,,,,,1,,
289,BS                  ,B8028               ,F7X                 ,,,,,,,,,,,,,,,1,,
290,BS                  ,B8029               ,F7X                 ,,,,,,,,,,,,,,,1,,
291,BS                  ,B8125               ,G5L                 ,,,,,,,,,,,,,,,1,,
292,BS                  ,B8137               ,G5L                 ,,,,,,,,,,,,,,,1,,
293,BS                  ,B8168               ,G5L                 ,,,,,,,,,,,,,,,1,,
294,BS                  ,B8195               ,GB6                 ,,,,,,,,,,,,,,,1,,
295,BS                  ,B8211               ,F7X                 ,,,,,,,,,,,,,,,1,,
296,BS                  ,B8215               ,F7X                 ,,,,,,,,,,,,,,,1,,
297,BS                  ,B8216               ,F7X                 ,,,,,,,,,,,,,,,1,,
298,BS                  ,B8251               ,G45                 ,,,,,,,,,,,,,,,1,,
299,BS                  ,B8252               ,G45                 ,,,,,,,,,,,,,,,1,,
300,BS                  ,B8253               ,G45                 ,,,,,,,,,,,,,,,1,,
301,BS                  ,B8256               ,G5L                 ,,,,,,,,,,,,,,,1,,
302,BS                  ,B8260               ,G5L                 ,,,,,,,,,,,,,,,1,,
303,BS                  ,B8269               ,G5L                 ,,,,,,,,,,,,,,,1,,
304,BS                  ,B8271               ,G45                 ,,,,,,,,,,,,,,,1,,
305,BS                  ,B8277               ,G2D                 ,,,,,,,,,,,,,,,1,,
306,BS                  ,B8288               ,G5L                 ,,,,,,,,,,,,,,,1,,
307,BS                  ,B8290               ,G45                 ,,,,,,,,,,,,,,,1,,
308,BS                  ,B8292               ,G5L                 ,,,,,,,,,,,,,,,1,,
309,BS                  ,B8300               ,G4L                 ,,,,,,,,,,,,,,,1,,
310,BS                  ,B8301               ,G45                 ,,,,,,,,,,,,,,,1,,
311,BS                  ,B8306               ,G5L                 ,,,,,,,,,,,,,,,1,,
312,BS                  ,B96999              ,GB6                 ,,,,,,,,,,,,,,,1,,
313,BS                  ,B98888              ,GB6                 ,,,,,,,,,,,,,,,1,,
314,BS                  ,B99888              ,G5L                 ,,,,,,,,,,,,,,,1,,
315,BS                  ,BFY009R             ,G5L                 ,,,,,,,,,,,,,,,1,,
316,BS                  ,BFY010R             ,G5L                 ,,,,,,,,,,,,,,,1,,
317,BS                  ,BFY024R             ,GB5                 ,,,,,,,,,,,,,,,1,,
318,BS                  ,BFY025R             ,GB5                 ,,,,,,,,,,,,,,,1,,
319,BS                  ,BFY135C             ,G5L                 ,,,,,,,,,,,,,,,1,,
320,BS                  ,BFY136C             ,G5L                 ,,,,,,,,,,,,,,,1,,
321,BS                  ,BFY142R             ,GB5                 ,,,,,,,,,,,,,,,1,,
322,BS                  ,BFY143P             ,GB5                 ,,,,,,,,,,,,,,,1,,
323,BS                  ,BFY156R             ,G4L                 ,,,,,,,,,,,,,,,1,,
324,BS                  ,BFY157R             ,G4L                 ,,,,,,,,,,,,,,,1,,
325,BS                  ,BGC103              ,CCJ                 ,,,,,,,,,,,,,,,1,,
326,BS                  ,BGC701              ,CCJ                 ,,,,,,,,,,,,,,,1,,
327,BS                  ,BGC702              ,G45                 ,,,,,,,,,,,,,,,1,,
328,BS                  ,BGC781              ,G45                 ,,,,,,,,,,,,,,,1,,
329,BS                  ,BGC782              ,G45                 ,,,,,,,,,,,,,,,1,,
330,BS                  ,BKEY                ,G65                 ,,,,,,,,,,,,,,,1,,
331,BS                  ,BMAZ                ,F2K                 ,,,,,,,,,,,,,,,1,,
332,BS                  ,BMW54               ,G5L                 ,,,,,,,,,,,,,,,1,,
333,BS                  ,BMW77               ,G5L                 ,,,,,,,,,,,,,,,1,,
334,BS                  ,BVR40               ,GB5                 ,,,,,,,,,,,,,,,1,,
335,BS                  ,BVR50               ,GB6                 ,,,,,,,,,,,,,,,1,,
336,BS                  ,BWJ029              ,GB5                 ,,,,,,,,,,,,,,,1,,
337,BS                  ,BWJ123              ,G5L                 ,,,,,,,,,,,,,,,1,,
338,BS                  ,BWJ128              ,G45                 ,,,,,,,,,,,,,,,1,,
339,BS                  ,BWJ200              ,G2D                 ,,,,,,,,,,,,,,,1,,
