45131,320,C                   ,322,2018/9/28 22:56,arrive,2018/9/28
45132,320,C                   ,238,2018/9/28 22:58,arrive,2018/9/28
45133,7M8                 ,C                   ,464,2018/9/28 22:59,arrive,2018/9/28
45134,738,C                   ,216,2018/9/28 22:59,arrive,2018/9/28
45135,320,C                   ,237,2018/9/28 22:59,depart,2018/9/28
45136,738,C                   ,235,2018/9/28 23:01,depart,2018/9/28
45137,320,C                   ,804,2018/9/28 23:01,depart,2018/9/28
45138,7M8                 ,C                   ,803,2018/9/28 23:01,depart,2018/9/28
45139,738,C                   ,564,2018/9/28 23:01,arrive,2018/9/28
45140,321,C                   ,N105L               ,2018/9/28 23:01,arrive,2018/9/28
45141,333,E                   ,604,2018/9/28 23:02,arrive,2018/9/28
45142,321,C                   ,318,2018/9/28 23:03,depart,2018/9/28
45143,738,C                   ,110,2018/9/28 23:03,depart,2018/9/28
45144,789,E                   ,219,2018/9/28 23:04,depart,2018/9/28
45145,738,C                   ,333,2018/9/28 23:04,arrive,2018/9/28
45146,738,C                   ,103,2018/9/28 23:04,arrive,2018/9/28
45147,73G                 ,C                   ,315,2018/9/28 23:06,arrive,2018/9/28
45148,738,C                   ,229,2018/9/28 23:06,arrive,2018/9/28
45149,738,C                   ,315,2018/9/28 23:06,depart,2018/9/28
45150,319,C                   ,304,2018/9/28 23:06,depart,2018/9/28
