航班号,航站楼,登机口,出口,方式,执飞公司,委托
CA8909,T3,,A,廊桥,CA,"ZH,SC,NZ"
CA1282,T3,,C,摆渡车,CA,ZH
CA1281,T3,C60,,摆渡车,CA,ZH
CA1600,T3,,C,廊桥,CA,"ZH,SC"
